,route_name,bus_age,year,dcp
0,60覺民幹線,電巴車齡5年,2023,51
1,橘12(白天延駛澄清湖),電巴車齡5年,2023,93
2,橘11A,電巴車齡5年,2023,4
3,橘11A區間車,電巴車齡5年,2023,82
4,橘11B,電巴車齡5年,2023,77
5,60覺民幹線區間車,電巴車齡5年,2023,60
6,E04燕巢學園快線,電巴車齡5年,2023,94
7,60覺民幹線,電巴車齡3年,2023,41
8,橘12(白天延駛澄清湖),電巴車齡3年,2023,27
9,橘11A,電巴車齡3年,2023,64
10,橘11A區間車,電巴車齡3年,2023,25
11,橘11B,電巴車齡3年,2023,13
12,60覺民幹線區間車,電巴車齡3年,2023,61
13,E04燕巢學園快線,電巴車齡3年,2023,66
14,60覺民幹線,電巴車齡1年,2023,10
15,橘12(白天延駛澄清湖),電巴車齡1年,2023,30
16,橘11A,電巴車齡1年,2023,64
17,橘11A區間車,電巴車齡1年,2023,84
18,橘11B,電巴車齡1年,2023,44
19,60覺民幹線區間車,電巴車齡1年,2023,55
20,E04燕巢學園快線,電巴車齡1年,2023,39
21,60覺民幹線,電巴車齡4年,2023,41
22,橘12(白天延駛澄清湖),電巴車齡4年,2023,88
23,橘11A,電巴車齡4年,2023,27
24,橘11A區間車,電巴車齡4年,2023,85
25,橘11B,電巴車齡4年,2023,27
26,60覺民幹線區間車,電巴車齡4年,2023,20
27,E04燕巢學園快線,電巴車齡4年,2023,86
28,60覺民幹線,電巴車齡超過5年,2023,14
29,橘12(白天延駛澄清湖),電巴車齡超過5年,2023,78
30,橘11A,電巴車齡超過5年,2023,57
31,橘11A區間車,電巴車齡超過5年,2023,31
32,橘11B,電巴車齡超過5年,2023,51
33,60覺民幹線區間車,電巴車齡超過5年,2023,46
34,E04燕巢學園快線,電巴車齡超過5年,2023,54
35,60覺民幹線,電巴車齡不到1年,2023,41
36,橘12(白天延駛澄清湖),電巴車齡不到1年,2023,56
37,橘11A,電巴車齡不到1年,2023,11
38,橘11A區間車,電巴車齡不到1年,2023,33
39,橘11B,電巴車齡不到1年,2023,89
40,60覺民幹線區間車,電巴車齡不到1年,2023,33
41,E04燕巢學園快線,電巴車齡不到1年,2023,92
