ts,bus_age,status,count
2023-05-30,電巴車齡1年,充電中,39
2023-05-31,電巴車齡1年,充電中,98
2023-06-01,電巴車齡1年,充電中,75
2023-06-02,電巴車齡1年,充電中,73
2023-06-03,電巴車齡1年,充電中,25
2023-06-04,電巴車齡1年,充電中,12
2023-06-05,電巴車齡1年,充電中,27
2023-06-06,電巴車齡1年,充電中,82
2023-06-07,電巴車齡1年,充電中,29
2023-06-08,電巴車齡1年,充電中,84
2023-06-09,電巴車齡1年,充電中,43
2023-06-10,電巴車齡1年,充電中,8
2023-06-11,電巴車齡1年,充電中,92
2023-06-12,電巴車齡1年,充電中,72
2023-06-13,電巴車齡1年,充電中,62
2023-06-14,電巴車齡1年,充電中,17
2023-06-15,電巴車齡1年,充電中,100
2023-06-16,電巴車齡1年,充電中,61
2023-06-17,電巴車齡1年,充電中,5
2023-06-18,電巴車齡1年,充電中,3
2023-06-19,電巴車齡1年,充電中,12
2023-06-20,電巴車齡1年,充電中,15
2023-06-21,電巴車齡1年,充電中,4
2023-06-22,電巴車齡1年,充電中,32
2023-06-23,電巴車齡1年,充電中,82
2023-06-24,電巴車齡1年,充電中,94
2023-06-25,電巴車齡1年,充電中,54
2023-06-26,電巴車齡1年,充電中,80
2023-06-27,電巴車齡1年,充電中,100
2023-06-28,電巴車齡1年,充電中,49
2023-06-29,電巴車齡1年,充電中,87
2023-06-30,電巴車齡1年,充電中,54
2023-07-01,電巴車齡1年,充電中,31
2023-07-02,電巴車齡1年,充電中,23
2023-07-03,電巴車齡1年,充電中,78
2023-07-04,電巴車齡1年,充電中,74
2023-07-05,電巴車齡1年,充電中,61
2023-07-06,電巴車齡1年,充電中,84
2023-07-07,電巴車齡1年,充電中,65
2023-07-08,電巴車齡1年,充電中,69
2023-07-09,電巴車齡1年,充電中,31
2023-07-10,電巴車齡1年,充電中,11
2023-07-11,電巴車齡1年,充電中,39
2023-07-12,電巴車齡1年,充電中,77
2023-07-13,電巴車齡1年,充電中,55
2023-07-14,電巴車齡1年,充電中,76
2023-07-15,電巴車齡1年,充電中,43
2023-07-16,電巴車齡1年,充電中,91
2023-07-17,電巴車齡1年,充電中,79
2023-07-18,電巴車齡1年,充電中,29
2023-07-19,電巴車齡1年,充電中,4
2023-07-20,電巴車齡1年,充電中,82
2023-07-21,電巴車齡1年,充電中,61
2023-07-22,電巴車齡1年,充電中,93
2023-07-23,電巴車齡1年,充電中,79
2023-07-24,電巴車齡1年,充電中,45
2023-07-25,電巴車齡1年,充電中,51
2023-07-26,電巴車齡1年,充電中,1
2023-07-27,電巴車齡1年,充電中,35
2023-07-28,電巴車齡1年,充電中,64
2023-07-29,電巴車齡1年,充電中,61
2023-07-30,電巴車齡1年,充電中,14
2023-07-31,電巴車齡1年,充電中,70
2023-08-01,電巴車齡1年,充電中,82
2023-08-02,電巴車齡1年,充電中,65
2023-08-03,電巴車齡1年,充電中,49
2023-08-04,電巴車齡1年,充電中,3
2023-08-05,電巴車齡1年,充電中,11
2023-08-06,電巴車齡1年,充電中,41
2023-08-07,電巴車齡1年,充電中,81
2023-08-08,電巴車齡1年,充電中,25
2023-08-09,電巴車齡1年,充電中,78
2023-08-10,電巴車齡1年,充電中,70
2023-08-11,電巴車齡1年,充電中,86
2023-08-12,電巴車齡1年,充電中,80
2023-08-13,電巴車齡1年,充電中,67
2023-08-14,電巴車齡1年,充電中,51
2023-08-15,電巴車齡1年,充電中,12
2023-08-16,電巴車齡1年,充電中,100
2023-08-17,電巴車齡1年,充電中,7
2023-08-18,電巴車齡1年,充電中,17
2023-08-19,電巴車齡1年,充電中,17
2023-08-20,電巴車齡1年,充電中,52
2023-08-21,電巴車齡1年,充電中,48
2023-08-22,電巴車齡1年,充電中,18
2023-08-23,電巴車齡1年,充電中,2
2023-08-24,電巴車齡1年,充電中,100
2023-08-25,電巴車齡1年,充電中,60
2023-08-26,電巴車齡1年,充電中,79
2023-08-27,電巴車齡1年,充電中,21
2023-08-28,電巴車齡1年,充電中,14
2023-08-29,電巴車齡1年,充電中,98
2023-08-30,電巴車齡1年,充電中,73
2023-08-31,電巴車齡1年,充電中,9
2023-09-01,電巴車齡1年,充電中,47
2023-09-02,電巴車齡1年,充電中,13
2023-09-03,電巴車齡1年,充電中,55
2023-09-04,電巴車齡1年,充電中,4
2023-09-05,電巴車齡1年,充電中,39
2023-09-06,電巴車齡1年,充電中,75
2023-09-07,電巴車齡1年,充電中,56
2023-09-08,電巴車齡1年,充電中,92
2023-09-09,電巴車齡1年,充電中,6
2023-09-10,電巴車齡1年,充電中,34
2023-09-11,電巴車齡1年,充電中,65
2023-09-12,電巴車齡1年,充電中,6
2023-09-13,電巴車齡1年,充電中,87
2023-09-14,電巴車齡1年,充電中,58
2023-09-15,電巴車齡1年,充電中,59
2023-09-16,電巴車齡1年,充電中,69
2023-09-17,電巴車齡1年,充電中,48
2023-09-18,電巴車齡1年,充電中,3
2023-09-19,電巴車齡1年,充電中,88
2023-09-20,電巴車齡1年,充電中,68
2023-09-21,電巴車齡1年,充電中,14
2023-09-22,電巴車齡1年,充電中,42
2023-09-23,電巴車齡1年,充電中,20
2023-09-24,電巴車齡1年,充電中,90
2023-09-25,電巴車齡1年,充電中,90
2023-09-26,電巴車齡1年,充電中,26
2023-09-27,電巴車齡1年,充電中,76
2023-09-28,電巴車齡1年,充電中,28
2023-09-29,電巴車齡1年,充電中,75
2023-09-30,電巴車齡1年,充電中,72
2023-10-01,電巴車齡1年,充電中,26
2023-10-02,電巴車齡1年,充電中,54
2023-10-03,電巴車齡1年,充電中,1
2023-10-04,電巴車齡1年,充電中,16
2023-10-05,電巴車齡1年,充電中,13
2023-10-06,電巴車齡1年,充電中,29
2023-10-07,電巴車齡1年,充電中,11
2023-10-08,電巴車齡1年,充電中,23
2023-10-09,電巴車齡1年,充電中,45
2023-10-10,電巴車齡1年,充電中,54
2023-10-11,電巴車齡1年,充電中,98
2023-10-12,電巴車齡1年,充電中,88
2023-10-13,電巴車齡1年,充電中,55
2023-10-14,電巴車齡1年,充電中,30
2023-10-15,電巴車齡1年,充電中,77
