,bus_age,month,total_charging_kw,driven_distance,fail_count
0,電巴車齡不到1年,2018-01,28,30,65
1,電巴車齡1年,2018-01,68,46,41
2,電巴車齡2年,2018-01,56,48,87
3,電巴車齡3年,2018-01,97,98,37
4,電巴車齡4年,2018-01,12,65,63
5,電巴車齡5年,2018-01,25,69,98
6,電巴車齡超過5年,2018-01,60,98,90
7,電巴車齡不到1年,2018-02,32,64,48
8,電巴車齡1年,2018-02,35,50,92
9,電巴車齡2年,2018-02,88,35,28
10,電巴車齡3年,2018-02,1,87,62
11,電巴車齡4年,2018-02,43,62,88
12,電巴車齡5年,2018-02,87,88,81
13,電巴車齡超過5年,2018-02,36,60,96
14,電巴車齡不到1年,2018-03,62,32,81
15,電巴車齡1年,2018-03,2,31,98
16,電巴車齡2年,2018-03,38,98,18
17,電巴車齡3年,2018-03,92,30,30
18,電巴車齡4年,2018-03,77,15,43
19,電巴車齡5年,2018-03,3,81,60
20,電巴車齡超過5年,2018-03,46,69,42
21,電巴車齡不到1年,2018-04,27,97,45
22,電巴車齡1年,2018-04,10,50,41
23,電巴車齡2年,2018-04,89,96,83
24,電巴車齡3年,2018-04,68,78,96
25,電巴車齡4年,2018-04,51,27,7
26,電巴車齡5年,2018-04,4,13,13
27,電巴車齡超過5年,2018-04,18,29,80
28,電巴車齡不到1年,2018-05,43,70,30
29,電巴車齡1年,2018-05,40,99,54
30,電巴車齡2年,2018-05,33,83,29
31,電巴車齡3年,2018-05,16,93,70
32,電巴車齡4年,2018-05,39,41,1
33,電巴車齡5年,2018-05,65,65,61
34,電巴車齡超過5年,2018-05,50,71,68
35,電巴車齡不到1年,2018-06,93,100,42
36,電巴車齡1年,2018-06,22,29,80
37,電巴車齡2年,2018-06,81,78,73
38,電巴車齡3年,2018-06,81,66,14
39,電巴車齡4年,2018-06,17,58,5
40,電巴車齡5年,2018-06,25,1,89
41,電巴車齡超過5年,2018-06,66,65,84
42,電巴車齡不到1年,2018-07,36,75,27
43,電巴車齡1年,2018-07,60,67,95
44,電巴車齡2年,2018-07,25,3,76
45,電巴車齡3年,2018-07,24,93,35
46,電巴車齡4年,2018-07,35,42,21
47,電巴車齡5年,2018-07,33,62,85
48,電巴車齡超過5年,2018-07,87,98,17
49,電巴車齡不到1年,2018-08,97,52,24
50,電巴車齡1年,2018-08,89,96,59
51,電巴車齡2年,2018-08,38,11,59
52,電巴車齡3年,2018-08,9,45,74
53,電巴車齡4年,2018-08,61,61,31
54,電巴車齡5年,2018-08,98,20,22
55,電巴車齡超過5年,2018-08,51,16,93
56,電巴車齡不到1年,2018-09,100,58,8
57,電巴車齡1年,2018-09,83,31,90
58,電巴車齡2年,2018-09,96,9,36
59,電巴車齡3年,2018-09,22,25,99
60,電巴車齡4年,2018-09,87,14,45
61,電巴車齡5年,2018-09,2,34,57
62,電巴車齡超過5年,2018-09,6,52,16
63,電巴車齡不到1年,2018-10,43,6,77
64,電巴車齡1年,2018-10,68,19,70
65,電巴車齡2年,2018-10,27,13,69
66,電巴車齡3年,2018-10,75,82,54
67,電巴車齡4年,2018-10,30,12,59
68,電巴車齡5年,2018-10,6,76,62
69,電巴車齡超過5年,2018-10,33,35,58
70,電巴車齡不到1年,2018-11,80,86,97
71,電巴車齡1年,2018-11,96,53,16
72,電巴車齡2年,2018-11,82,30,96
73,電巴車齡3年,2018-11,88,38,15
74,電巴車齡4年,2018-11,64,59,68
75,電巴車齡5年,2018-11,25,98,45
76,電巴車齡超過5年,2018-11,94,44,27
77,電巴車齡不到1年,2018-12,26,6,48
78,電巴車齡1年,2018-12,6,2,70
79,電巴車齡2年,2018-12,17,8,15
80,電巴車齡3年,2018-12,62,95,98
81,電巴車齡4年,2018-12,63,26,8
82,電巴車齡5年,2018-12,35,11,66
83,電巴車齡超過5年,2018-12,58,90,16
