,route_name,month,car_used_percentage,dcp,ddcp
0,橘11A區間車,2015-01,37,4,49
1,橘12(白天延駛澄清湖),2015-01,91,80,99
2,60覺民幹線區間車,2015-01,66,74,94
3,60覺民幹線,2015-01,77,74,24
4,E04燕巢學園快線,2015-01,82,31,80
5,橘11B,2015-01,59,84,49
6,橘11A區間車,2015-02,57,6,2
7,橘12(白天延駛澄清湖),2015-02,31,49,79
8,60覺民幹線區間車,2015-02,74,97,45
9,60覺民幹線,2015-02,73,34,52
10,E04燕巢學園快線,2015-02,84,57,38
11,橘11B,2015-02,89,22,99
12,橘11A區間車,2015-03,24,51,72
13,橘12(白天延駛澄清湖),2015-03,13,39,12
14,60覺民幹線區間車,2015-03,25,88,54
15,60覺民幹線,2015-03,52,42,17
16,E04燕巢學園快線,2015-03,18,86,62
17,橘11B,2015-03,42,44,4
18,橘11A區間車,2015-04,34,29,53
19,橘12(白天延駛澄清湖),2015-04,45,8,81
20,60覺民幹線區間車,2015-04,30,83,23
21,60覺民幹線,2015-04,7,14,88
22,E04燕巢學園快線,2015-04,37,77,29
23,橘11B,2015-04,16,51,50
24,橘11A區間車,2015-05,26,29,14
25,橘12(白天延駛澄清湖),2015-05,39,57,85
26,60覺民幹線區間車,2015-05,45,59,58
27,60覺民幹線,2015-05,66,14,92
28,E04燕巢學園快線,2015-05,73,65,5
29,橘11B,2015-05,11,29,71
30,橘11A區間車,2015-06,61,73,2
31,橘12(白天延駛澄清湖),2015-06,93,70,28
32,60覺民幹線區間車,2015-06,42,87,97
33,60覺民幹線,2015-06,45,59,35
34,E04燕巢學園快線,2015-06,38,33,76
35,橘11B,2015-06,98,17,59
36,橘11A區間車,2015-07,100,15,24
37,橘12(白天延駛澄清湖),2015-07,76,53,97
38,60覺民幹線區間車,2015-07,18,96,75
39,60覺民幹線,2015-07,68,11,63
40,E04燕巢學園快線,2015-07,13,87,75
41,橘11B,2015-07,11,58,57
42,橘11A區間車,2015-08,49,61,18
43,橘12(白天延駛澄清湖),2015-08,100,81,79
44,60覺民幹線區間車,2015-08,22,76,2
45,60覺民幹線,2015-08,16,71,30
46,E04燕巢學園快線,2015-08,78,9,50
47,橘11B,2015-08,41,83,18
48,橘11A區間車,2015-09,19,6,26
49,橘12(白天延駛澄清湖),2015-09,44,68,82
50,60覺民幹線區間車,2015-09,62,88,3
51,60覺民幹線,2015-09,38,27,45
52,E04燕巢學園快線,2015-09,41,37,36
53,橘11B,2015-09,99,90,56
54,橘11A區間車,2015-10,47,1,43
55,橘12(白天延駛澄清湖),2015-10,57,74,40
56,60覺民幹線區間車,2015-10,90,53,26
57,60覺民幹線,2015-10,59,19,28
58,E04燕巢學園快線,2015-10,29,92,81
59,橘11B,2015-10,32,78,96
60,橘11A區間車,2015-11,16,41,99
61,橘12(白天延駛澄清湖),2015-11,36,99,100
62,60覺民幹線區間車,2015-11,72,30,50
63,60覺民幹線,2015-11,99,2,94
64,E04燕巢學園快線,2015-11,89,63,32
65,橘11B,2015-11,71,80,58
66,橘11A區間車,2015-12,58,69,5
67,橘12(白天延駛澄清湖),2015-12,86,38,30
68,60覺民幹線區間車,2015-12,19,40,12
69,60覺民幹線,2015-12,100,94,100
70,E04燕巢學園快線,2015-12,28,41,93
71,橘11B,2015-12,67,18,86
