,route_name,bus_age,yyyymmdd,dcp
0,60覺民幹線,電巴車齡5年,2010-03-13,77
1,橘12(白天延駛澄清湖),電巴車齡5年,2010-03-13,53
2,橘11A,電巴車齡5年,2010-03-13,58
3,橘11A區間車,電巴車齡5年,2010-03-13,4
4,橘11B,電巴車齡5年,2010-03-13,7
5,60覺民幹線區間車,電巴車齡5年,2010-03-13,55
6,E04燕巢學園快線,電巴車齡5年,2010-03-13,21
7,60覺民幹線,電巴車齡3年,2010-03-13,17
8,橘12(白天延駛澄清湖),電巴車齡3年,2010-03-13,29
9,橘11A,電巴車齡3年,2010-03-13,63
10,橘11A區間車,電巴車齡3年,2010-03-13,98
11,橘11B,電巴車齡3年,2010-03-13,51
12,60覺民幹線區間車,電巴車齡3年,2010-03-13,69
13,E04燕巢學園快線,電巴車齡3年,2010-03-13,98
14,60覺民幹線,電巴車齡超過5年,2010-03-13,20
15,橘12(白天延駛澄清湖),電巴車齡超過5年,2010-03-13,91
16,橘11A,電巴車齡超過5年,2010-03-13,10
17,橘11A區間車,電巴車齡超過5年,2010-03-13,68
18,橘11B,電巴車齡超過5年,2010-03-13,96
19,60覺民幹線區間車,電巴車齡超過5年,2010-03-13,32
20,E04燕巢學園快線,電巴車齡超過5年,2010-03-13,53
21,60覺民幹線,電巴車齡1年,2010-03-13,86
22,橘12(白天延駛澄清湖),電巴車齡1年,2010-03-13,66
23,橘11A,電巴車齡1年,2010-03-13,10
24,橘11A區間車,電巴車齡1年,2010-03-13,58
25,橘11B,電巴車齡1年,2010-03-13,68
26,60覺民幹線區間車,電巴車齡1年,2010-03-13,64
27,E04燕巢學園快線,電巴車齡1年,2010-03-13,2
28,60覺民幹線,電巴車齡2年,2010-03-13,97
29,橘12(白天延駛澄清湖),電巴車齡2年,2010-03-13,22
30,橘11A,電巴車齡2年,2010-03-13,17
31,橘11A區間車,電巴車齡2年,2010-03-13,11
32,橘11B,電巴車齡2年,2010-03-13,39
33,60覺民幹線區間車,電巴車齡2年,2010-03-13,15
34,E04燕巢學園快線,電巴車齡2年,2010-03-13,84
35,60覺民幹線,電巴車齡4年,2010-03-13,76
36,橘12(白天延駛澄清湖),電巴車齡4年,2010-03-13,34
37,橘11A,電巴車齡4年,2010-03-13,19
38,橘11A區間車,電巴車齡4年,2010-03-13,45
39,橘11B,電巴車齡4年,2010-03-13,71
40,60覺民幹線區間車,電巴車齡4年,2010-03-13,69
41,E04燕巢學園快線,電巴車齡4年,2010-03-13,56
