,depot,bus_age,day,car_used_percentage
0,鳳山站,電巴車齡2年,2023-04-27,7
1,楠梓站,電巴車齡2年,2023-04-27,53
2,高雄站,電巴車齡2年,2023-04-27,23
3,鳳山站,電巴車齡3年,2023-04-27,32
4,楠梓站,電巴車齡3年,2023-04-27,85
5,高雄站,電巴車齡3年,2023-04-27,10
6,鳳山站,電巴車齡5年,2023-04-27,42
7,楠梓站,電巴車齡5年,2023-04-27,62
8,高雄站,電巴車齡5年,2023-04-27,47
9,鳳山站,電巴車齡4年,2023-04-27,58
10,楠梓站,電巴車齡4年,2023-04-27,52
11,高雄站,電巴車齡4年,2023-04-27,78
12,鳳山站,電巴車齡不到1年,2023-04-27,7
13,楠梓站,電巴車齡不到1年,2023-04-27,64
14,高雄站,電巴車齡不到1年,2023-04-27,31
15,鳳山站,電巴車齡超過5年,2023-04-27,28
16,楠梓站,電巴車齡超過5年,2023-04-27,43
17,高雄站,電巴車齡超過5年,2023-04-27,63
