,route_name,bus_age,yyyymm,dcp
0,60覺民幹線,電巴車齡不到1年,2012-03,37
1,橘12(白天延駛澄清湖),電巴車齡不到1年,2012-03,58
2,橘11A,電巴車齡不到1年,2012-03,80
3,橘11A區間車,電巴車齡不到1年,2012-03,59
4,橘11B,電巴車齡不到1年,2012-03,43
5,60覺民幹線區間車,電巴車齡不到1年,2012-03,26
6,E04燕巢學園快線,電巴車齡不到1年,2012-03,7
7,60覺民幹線,電巴車齡3年,2012-03,90
8,橘12(白天延駛澄清湖),電巴車齡3年,2012-03,42
9,橘11A,電巴車齡3年,2012-03,75
10,橘11A區間車,電巴車齡3年,2012-03,52
11,橘11B,電巴車齡3年,2012-03,61
12,60覺民幹線區間車,電巴車齡3年,2012-03,89
13,E04燕巢學園快線,電巴車齡3年,2012-03,83
14,60覺民幹線,電巴車齡4年,2012-03,84
15,橘12(白天延駛澄清湖),電巴車齡4年,2012-03,56
16,橘11A,電巴車齡4年,2012-03,96
17,橘11A區間車,電巴車齡4年,2012-03,42
18,橘11B,電巴車齡4年,2012-03,95
19,60覺民幹線區間車,電巴車齡4年,2012-03,53
20,E04燕巢學園快線,電巴車齡4年,2012-03,4
21,60覺民幹線,電巴車齡5年,2012-03,71
22,橘12(白天延駛澄清湖),電巴車齡5年,2012-03,41
23,橘11A,電巴車齡5年,2012-03,46
24,橘11A區間車,電巴車齡5年,2012-03,95
25,橘11B,電巴車齡5年,2012-03,88
26,60覺民幹線區間車,電巴車齡5年,2012-03,21
27,E04燕巢學園快線,電巴車齡5年,2012-03,62
28,60覺民幹線,電巴車齡1年,2012-03,53
29,橘12(白天延駛澄清湖),電巴車齡1年,2012-03,85
30,橘11A,電巴車齡1年,2012-03,54
31,橘11A區間車,電巴車齡1年,2012-03,3
32,橘11B,電巴車齡1年,2012-03,71
33,60覺民幹線區間車,電巴車齡1年,2012-03,54
34,E04燕巢學園快線,電巴車齡1年,2012-03,96
35,60覺民幹線,電巴車齡超過5年,2012-03,79
36,橘12(白天延駛澄清湖),電巴車齡超過5年,2012-03,39
37,橘11A,電巴車齡超過5年,2012-03,8
38,橘11A區間車,電巴車齡超過5年,2012-03,11
39,橘11B,電巴車齡超過5年,2012-03,86
40,60覺民幹線區間車,電巴車齡超過5年,2012-03,21
41,E04燕巢學園快線,電巴車齡超過5年,2012-03,24
