,status,route_name,year,count
0,充電中,60覺民幹線,2027,14
1,值勤中,60覺民幹線,2027,62
2,備用中,60覺民幹線,2027,12
3,閒置中,60覺民幹線,2027,62
4,充電中,E04燕巢學園快線,2027,51
5,值勤中,E04燕巢學園快線,2027,67
6,備用中,E04燕巢學園快線,2027,59
7,閒置中,E04燕巢學園快線,2027,21
8,充電中,橘11B,2027,42
9,值勤中,橘11B,2027,57
10,備用中,橘11B,2027,52
11,閒置中,橘11B,2027,40
12,充電中,橘12(白天延駛澄清湖),2027,57
13,值勤中,橘12(白天延駛澄清湖),2027,58
14,備用中,橘12(白天延駛澄清湖),2027,39
15,閒置中,橘12(白天延駛澄清湖),2027,82
16,充電中,60覺民幹線區間車,2027,72
17,值勤中,60覺民幹線區間車,2027,1
18,備用中,60覺民幹線區間車,2027,48
19,閒置中,60覺民幹線區間車,2027,22
20,充電中,橘11A區間車,2027,86
21,值勤中,橘11A區間車,2027,56
22,備用中,橘11A區間車,2027,16
23,閒置中,橘11A區間車,2027,43
