,status,bus_age,yyyymmdd,count
0,充電中,電巴車齡1年,2001-08-13,77
1,值勤中,電巴車齡1年,2001-08-13,1
2,備用中,電巴車齡1年,2001-08-13,31
3,閒置中,電巴車齡1年,2001-08-13,59
4,充電中,電巴車齡超過5年,2001-08-13,87
5,值勤中,電巴車齡超過5年,2001-08-13,19
6,備用中,電巴車齡超過5年,2001-08-13,95
7,閒置中,電巴車齡超過5年,2001-08-13,7
8,充電中,電巴車齡5年,2001-08-13,50
9,值勤中,電巴車齡5年,2001-08-13,35
10,備用中,電巴車齡5年,2001-08-13,5
11,閒置中,電巴車齡5年,2001-08-13,73
12,充電中,電巴車齡3年,2001-08-13,1
13,值勤中,電巴車齡3年,2001-08-13,28
14,備用中,電巴車齡3年,2001-08-13,54
15,閒置中,電巴車齡3年,2001-08-13,59
16,充電中,電巴車齡不到1年,2001-08-13,54
17,值勤中,電巴車齡不到1年,2001-08-13,58
18,備用中,電巴車齡不到1年,2001-08-13,37
19,閒置中,電巴車齡不到1年,2001-08-13,30
20,充電中,電巴車齡2年,2001-08-13,25
21,值勤中,電巴車齡2年,2001-08-13,74
22,備用中,電巴車齡2年,2001-08-13,16
23,閒置中,電巴車齡2年,2001-08-13,3
