,status,bus_age,month,count
0,充電中,電巴車齡2年,2023-11,96
1,值勤中,電巴車齡2年,2023-11,81
2,備用中,電巴車齡2年,2023-11,28
3,閒置中,電巴車齡2年,2023-11,33
4,充電中,電巴車齡1年,2023-11,64
5,值勤中,電巴車齡1年,2023-11,26
6,備用中,電巴車齡1年,2023-11,37
7,閒置中,電巴車齡1年,2023-11,86
8,充電中,電巴車齡超過5年,2023-11,24
9,值勤中,電巴車齡超過5年,2023-11,19
10,備用中,電巴車齡超過5年,2023-11,41
11,閒置中,電巴車齡超過5年,2023-11,47
12,充電中,電巴車齡4年,2023-11,85
13,值勤中,電巴車齡4年,2023-11,34
14,備用中,電巴車齡4年,2023-11,45
15,閒置中,電巴車齡4年,2023-11,81
16,充電中,電巴車齡不到1年,2023-11,98
17,值勤中,電巴車齡不到1年,2023-11,37
18,備用中,電巴車齡不到1年,2023-11,64
19,閒置中,電巴車齡不到1年,2023-11,45
20,充電中,電巴車齡3年,2023-11,18
21,值勤中,電巴車齡3年,2023-11,56
22,備用中,電巴車齡3年,2023-11,99
23,閒置中,電巴車齡3年,2023-11,46
