,status,bus_age,route_name,month,count
0,充電中,電巴車齡3年,橘11A,2023-06,51
1,值勤中,電巴車齡3年,橘11A,2023-06,99
2,備用中,電巴車齡3年,橘11A,2023-06,82
3,閒置中,電巴車齡3年,橘11A,2023-06,71
4,充電中,電巴車齡3年,橘11A,2023-07,95
5,值勤中,電巴車齡3年,橘11A,2023-07,52
6,備用中,電巴車齡3年,橘11A,2023-07,45
7,閒置中,電巴車齡3年,橘11A,2023-07,44
8,充電中,電巴車齡3年,橘11A,2023-08,46
9,值勤中,電巴車齡3年,橘11A,2023-08,45
10,備用中,電巴車齡3年,橘11A,2023-08,84
11,閒置中,電巴車齡3年,橘11A,2023-08,30
12,充電中,電巴車齡3年,橘11A,2023-09,34
13,值勤中,電巴車齡3年,橘11A,2023-09,18
14,備用中,電巴車齡3年,橘11A,2023-09,4
15,閒置中,電巴車齡3年,橘11A,2023-09,77
16,充電中,電巴車齡3年,橘11A,2023-10,52
17,值勤中,電巴車齡3年,橘11A,2023-10,89
18,備用中,電巴車齡3年,橘11A,2023-10,36
19,閒置中,電巴車齡3年,橘11A,2023-10,75
20,充電中,電巴車齡3年,橘11A,2023-11,34
21,值勤中,電巴車齡3年,橘11A,2023-11,100
22,備用中,電巴車齡3年,橘11A,2023-11,48
23,閒置中,電巴車齡3年,橘11A,2023-11,3
