,route_name,bus_age,yyyymmdd,total_charging_estimation_kw
0,60覺民幹線,電巴車齡不到1年,2026-09-09,26
1,橘12(白天延駛澄清湖),電巴車齡不到1年,2026-09-09,17
2,橘11A,電巴車齡不到1年,2026-09-09,68
3,橘11A區間車,電巴車齡不到1年,2026-09-09,77
4,橘11B,電巴車齡不到1年,2026-09-09,15
5,60覺民幹線區間車,電巴車齡不到1年,2026-09-09,30
6,E04燕巢學園快線,電巴車齡不到1年,2026-09-09,99
7,60覺民幹線,電巴車齡1年,2026-09-09,79
8,橘12(白天延駛澄清湖),電巴車齡1年,2026-09-09,61
9,橘11A,電巴車齡1年,2026-09-09,85
10,橘11A區間車,電巴車齡1年,2026-09-09,42
11,橘11B,電巴車齡1年,2026-09-09,25
12,60覺民幹線區間車,電巴車齡1年,2026-09-09,9
13,E04燕巢學園快線,電巴車齡1年,2026-09-09,20
14,60覺民幹線,電巴車齡超過5年,2026-09-09,6
15,橘12(白天延駛澄清湖),電巴車齡超過5年,2026-09-09,94
16,橘11A,電巴車齡超過5年,2026-09-09,79
17,橘11A區間車,電巴車齡超過5年,2026-09-09,36
18,橘11B,電巴車齡超過5年,2026-09-09,32
19,60覺民幹線區間車,電巴車齡超過5年,2026-09-09,90
20,E04燕巢學園快線,電巴車齡超過5年,2026-09-09,56
21,60覺民幹線,電巴車齡2年,2026-09-09,58
22,橘12(白天延駛澄清湖),電巴車齡2年,2026-09-09,46
23,橘11A,電巴車齡2年,2026-09-09,54
24,橘11A區間車,電巴車齡2年,2026-09-09,66
25,橘11B,電巴車齡2年,2026-09-09,33
26,60覺民幹線區間車,電巴車齡2年,2026-09-09,53
27,E04燕巢學園快線,電巴車齡2年,2026-09-09,62
28,60覺民幹線,電巴車齡4年,2026-09-09,81
29,橘12(白天延駛澄清湖),電巴車齡4年,2026-09-09,24
30,橘11A,電巴車齡4年,2026-09-09,32
31,橘11A區間車,電巴車齡4年,2026-09-09,13
32,橘11B,電巴車齡4年,2026-09-09,95
33,60覺民幹線區間車,電巴車齡4年,2026-09-09,59
34,E04燕巢學園快線,電巴車齡4年,2026-09-09,92
35,60覺民幹線,電巴車齡5年,2026-09-09,21
36,橘12(白天延駛澄清湖),電巴車齡5年,2026-09-09,87
37,橘11A,電巴車齡5年,2026-09-09,50
38,橘11A區間車,電巴車齡5年,2026-09-09,9
39,橘11B,電巴車齡5年,2026-09-09,23
40,60覺民幹線區間車,電巴車齡5年,2026-09-09,84
41,E04燕巢學園快線,電巴車齡5年,2026-09-09,39
