,route_name,bus_age,month,dcp
0,60覺民幹線,電巴車齡1年,2023-11,29
1,橘12(白天延駛澄清湖),電巴車齡1年,2023-11,82
2,橘11A,電巴車齡1年,2023-11,97
3,橘11A區間車,電巴車齡1年,2023-11,64
4,橘11B,電巴車齡1年,2023-11,15
5,60覺民幹線區間車,電巴車齡1年,2023-11,71
6,E04燕巢學園快線,電巴車齡1年,2023-11,87
7,60覺民幹線,電巴車齡不到1年,2023-11,81
8,橘12(白天延駛澄清湖),電巴車齡不到1年,2023-11,78
9,橘11A,電巴車齡不到1年,2023-11,56
10,橘11A區間車,電巴車齡不到1年,2023-11,88
11,橘11B,電巴車齡不到1年,2023-11,55
12,60覺民幹線區間車,電巴車齡不到1年,2023-11,63
13,E04燕巢學園快線,電巴車齡不到1年,2023-11,90
14,60覺民幹線,電巴車齡5年,2023-11,63
15,橘12(白天延駛澄清湖),電巴車齡5年,2023-11,86
16,橘11A,電巴車齡5年,2023-11,68
17,橘11A區間車,電巴車齡5年,2023-11,52
18,橘11B,電巴車齡5年,2023-11,45
19,60覺民幹線區間車,電巴車齡5年,2023-11,71
20,E04燕巢學園快線,電巴車齡5年,2023-11,94
21,60覺民幹線,電巴車齡4年,2023-11,95
22,橘12(白天延駛澄清湖),電巴車齡4年,2023-11,94
23,橘11A,電巴車齡4年,2023-11,83
24,橘11A區間車,電巴車齡4年,2023-11,66
25,橘11B,電巴車齡4年,2023-11,18
26,60覺民幹線區間車,電巴車齡4年,2023-11,53
27,E04燕巢學園快線,電巴車齡4年,2023-11,60
28,60覺民幹線,電巴車齡3年,2023-11,41
29,橘12(白天延駛澄清湖),電巴車齡3年,2023-11,22
30,橘11A,電巴車齡3年,2023-11,95
31,橘11A區間車,電巴車齡3年,2023-11,73
32,橘11B,電巴車齡3年,2023-11,27
33,60覺民幹線區間車,電巴車齡3年,2023-11,64
34,E04燕巢學園快線,電巴車齡3年,2023-11,64
35,60覺民幹線,電巴車齡2年,2023-11,25
36,橘12(白天延駛澄清湖),電巴車齡2年,2023-11,39
37,橘11A,電巴車齡2年,2023-11,42
38,橘11A區間車,電巴車齡2年,2023-11,41
39,橘11B,電巴車齡2年,2023-11,23
40,60覺民幹線區間車,電巴車齡2年,2023-11,66
41,E04燕巢學園快線,電巴車齡2年,2023-11,31
