,bus_age,depot,yyyymm,car_used_percentage
0,電巴車齡不到1年,楠梓站,2025-10,98
1,電巴車齡1年,楠梓站,2025-10,15
2,電巴車齡2年,楠梓站,2025-10,54
3,電巴車齡3年,楠梓站,2025-10,89
4,電巴車齡4年,楠梓站,2025-10,66
5,電巴車齡5年,楠梓站,2025-10,65
6,電巴車齡超過5年,楠梓站,2025-10,46
7,電巴車齡不到1年,楠梓站,2025-11,36
8,電巴車齡1年,楠梓站,2025-11,7
9,電巴車齡2年,楠梓站,2025-11,50
10,電巴車齡3年,楠梓站,2025-11,88
11,電巴車齡4年,楠梓站,2025-11,67
12,電巴車齡5年,楠梓站,2025-11,5
13,電巴車齡超過5年,楠梓站,2025-11,29
14,電巴車齡不到1年,楠梓站,2025-12,75
15,電巴車齡1年,楠梓站,2025-12,39
16,電巴車齡2年,楠梓站,2025-12,49
17,電巴車齡3年,楠梓站,2025-12,58
18,電巴車齡4年,楠梓站,2025-12,35
19,電巴車齡5年,楠梓站,2025-12,33
20,電巴車齡超過5年,楠梓站,2025-12,16
