,route_name,bus_age,month,dcp,driven_distance,driven_distance_estimation,on_time_percentage,total_charging_estimation_kw
0,E04燕巢學園快線,電巴車齡超過5年,2023-06,27,3,49,53,66
1,60覺民幹線區間車,電巴車齡超過5年,2023-06,99,73,84,11,56
2,橘11B,電巴車齡超過5年,2023-06,34,88,31,8,6
3,60覺民幹線,電巴車齡超過5年,2023-06,39,72,43,62,68
4,橘12(白天延駛澄清湖),電巴車齡超過5年,2023-06,84,56,61,20,82
5,橘11A,電巴車齡超過5年,2023-06,58,88,95,54,79
6,E04燕巢學園快線,電巴車齡超過5年,2023-07,88,89,19,36,33
7,60覺民幹線區間車,電巴車齡超過5年,2023-07,11,58,91,19,56
8,橘11B,電巴車齡超過5年,2023-07,47,9,54,28,69
9,60覺民幹線,電巴車齡超過5年,2023-07,100,45,99,20,81
10,橘12(白天延駛澄清湖),電巴車齡超過5年,2023-07,91,69,97,68,75
11,橘11A,電巴車齡超過5年,2023-07,69,7,74,36,83
12,E04燕巢學園快線,電巴車齡超過5年,2023-08,47,46,2,44,61
13,60覺民幹線區間車,電巴車齡超過5年,2023-08,4,68,50,50,94
14,橘11B,電巴車齡超過5年,2023-08,13,98,23,61,40
15,60覺民幹線,電巴車齡超過5年,2023-08,87,18,10,17,5
16,橘12(白天延駛澄清湖),電巴車齡超過5年,2023-08,30,90,17,38,48
17,橘11A,電巴車齡超過5年,2023-08,16,30,68,46,5
18,E04燕巢學園快線,電巴車齡超過5年,2023-09,94,8,9,22,73
19,60覺民幹線區間車,電巴車齡超過5年,2023-09,46,97,72,59,79
20,橘11B,電巴車齡超過5年,2023-09,31,80,73,100,5
21,60覺民幹線,電巴車齡超過5年,2023-09,87,57,50,88,17
22,橘12(白天延駛澄清湖),電巴車齡超過5年,2023-09,3,4,23,18,31
23,橘11A,電巴車齡超過5年,2023-09,32,57,75,90,61
24,E04燕巢學園快線,電巴車齡超過5年,2023-10,2,37,63,77,30
25,60覺民幹線區間車,電巴車齡超過5年,2023-10,25,28,67,49,18
26,橘11B,電巴車齡超過5年,2023-10,1,47,7,38,97
27,60覺民幹線,電巴車齡超過5年,2023-10,70,55,59,35,14
28,橘12(白天延駛澄清湖),電巴車齡超過5年,2023-10,92,5,17,53,64
29,橘11A,電巴車齡超過5年,2023-10,33,41,10,17,20
30,E04燕巢學園快線,電巴車齡超過5年,2023-11,51,60,98,32,98
31,60覺民幹線區間車,電巴車齡超過5年,2023-11,15,62,34,95,77
32,橘11B,電巴車齡超過5年,2023-11,82,42,56,94,7
33,60覺民幹線,電巴車齡超過5年,2023-11,53,98,5,13,44
34,橘12(白天延駛澄清湖),電巴車齡超過5年,2023-11,19,40,73,80,99
35,橘11A,電巴車齡超過5年,2023-11,100,49,75,59,40
