,route_name,day,dcp
0,60覺民幹線,2023-11-15,78
1,橘12(白天延駛澄清湖),2023-11-15,87
2,橘11A,2023-11-15,95
3,橘11A區間車,2023-11-15,25
4,橘11B,2023-11-15,100
5,60覺民幹線區間車,2023-11-15,8
6,E04燕巢學園快線,2023-11-15,82
7,60覺民幹線,2023-11-16,78
8,橘12(白天延駛澄清湖),2023-11-16,92
9,橘11A,2023-11-16,74
10,橘11A區間車,2023-11-16,14
11,橘11B,2023-11-16,60
12,60覺民幹線區間車,2023-11-16,78
13,E04燕巢學園快線,2023-11-16,81
14,60覺民幹線,2023-11-17,54
15,橘12(白天延駛澄清湖),2023-11-17,38
16,橘11A,2023-11-17,39
17,橘11A區間車,2023-11-17,36
18,橘11B,2023-11-17,58
19,60覺民幹線區間車,2023-11-17,15
20,E04燕巢學園快線,2023-11-17,50
21,60覺民幹線,2023-11-18,93
22,橘12(白天延駛澄清湖),2023-11-18,46
23,橘11A,2023-11-18,28
24,橘11A區間車,2023-11-18,12
25,橘11B,2023-11-18,5
26,60覺民幹線區間車,2023-11-18,1
27,E04燕巢學園快線,2023-11-18,100
28,60覺民幹線,2023-11-19,29
29,橘12(白天延駛澄清湖),2023-11-19,36
30,橘11A,2023-11-19,5
31,橘11A區間車,2023-11-19,29
32,橘11B,2023-11-19,2
33,60覺民幹線區間車,2023-11-19,15
34,E04燕巢學園快線,2023-11-19,59
35,60覺民幹線,2023-11-20,57
36,橘12(白天延駛澄清湖),2023-11-20,19
37,橘11A,2023-11-20,43
38,橘11A區間車,2023-11-20,75
39,橘11B,2023-11-20,44
40,60覺民幹線區間車,2023-11-20,57
41,E04燕巢學園快線,2023-11-20,79
42,60覺民幹線,2023-11-21,29
43,橘12(白天延駛澄清湖),2023-11-21,71
44,橘11A,2023-11-21,16
45,橘11A區間車,2023-11-21,97
46,橘11B,2023-11-21,51
47,60覺民幹線區間車,2023-11-21,31
48,E04燕巢學園快線,2023-11-21,48
49,60覺民幹線,2023-11-22,95
50,橘12(白天延駛澄清湖),2023-11-22,6
51,橘11A,2023-11-22,76
52,橘11A區間車,2023-11-22,32
53,橘11B,2023-11-22,17
54,60覺民幹線區間車,2023-11-22,83
55,E04燕巢學園快線,2023-11-22,87
56,60覺民幹線,2023-11-23,73
57,橘12(白天延駛澄清湖),2023-11-23,88
58,橘11A,2023-11-23,8
59,橘11A區間車,2023-11-23,57
60,橘11B,2023-11-23,55
61,60覺民幹線區間車,2023-11-23,80
62,E04燕巢學園快線,2023-11-23,1
63,60覺民幹線,2023-11-24,14
64,橘12(白天延駛澄清湖),2023-11-24,83
65,橘11A,2023-11-24,90
66,橘11A區間車,2023-11-24,11
67,橘11B,2023-11-24,60
68,60覺民幹線區間車,2023-11-24,50
69,E04燕巢學園快線,2023-11-24,6
70,60覺民幹線,2023-11-25,92
71,橘12(白天延駛澄清湖),2023-11-25,54
72,橘11A,2023-11-25,49
73,橘11A區間車,2023-11-25,51
74,橘11B,2023-11-25,25
75,60覺民幹線區間車,2023-11-25,79
76,E04燕巢學園快線,2023-11-25,58
77,60覺民幹線,2023-11-26,68
78,橘12(白天延駛澄清湖),2023-11-26,14
79,橘11A,2023-11-26,35
80,橘11A區間車,2023-11-26,10
81,橘11B,2023-11-26,25
82,60覺民幹線區間車,2023-11-26,80
83,E04燕巢學園快線,2023-11-26,26
84,60覺民幹線,2023-11-27,86
85,橘12(白天延駛澄清湖),2023-11-27,51
86,橘11A,2023-11-27,82
87,橘11A區間車,2023-11-27,48
88,橘11B,2023-11-27,73
89,60覺民幹線區間車,2023-11-27,67
90,E04燕巢學園快線,2023-11-27,71
91,60覺民幹線,2023-11-28,14
92,橘12(白天延駛澄清湖),2023-11-28,100
93,橘11A,2023-11-28,81
94,橘11A區間車,2023-11-28,1
95,橘11B,2023-11-28,60
96,60覺民幹線區間車,2023-11-28,58
97,E04燕巢學園快線,2023-11-28,30
98,60覺民幹線,2023-11-29,89
99,橘12(白天延駛澄清湖),2023-11-29,75
100,橘11A,2023-11-29,11
101,橘11A區間車,2023-11-29,5
102,橘11B,2023-11-29,46
103,60覺民幹線區間車,2023-11-29,26
104,E04燕巢學園快線,2023-11-29,22
