,status,bus_age,year,count
0,充電中,電巴車齡超過5年,2024,9
1,值勤中,電巴車齡超過5年,2024,20
2,備用中,電巴車齡超過5年,2024,67
3,閒置中,電巴車齡超過5年,2024,88
4,充電中,電巴車齡3年,2024,54
5,值勤中,電巴車齡3年,2024,42
6,備用中,電巴車齡3年,2024,45
7,閒置中,電巴車齡3年,2024,1
8,充電中,電巴車齡5年,2024,85
9,值勤中,電巴車齡5年,2024,18
10,備用中,電巴車齡5年,2024,30
11,閒置中,電巴車齡5年,2024,8
12,充電中,電巴車齡不到1年,2024,68
13,值勤中,電巴車齡不到1年,2024,9
14,備用中,電巴車齡不到1年,2024,97
15,閒置中,電巴車齡不到1年,2024,53
16,充電中,電巴車齡1年,2024,9
17,值勤中,電巴車齡1年,2024,93
18,備用中,電巴車齡1年,2024,5
19,閒置中,電巴車齡1年,2024,71
20,充電中,電巴車齡4年,2024,63
21,值勤中,電巴車齡4年,2024,34
22,備用中,電巴車齡4年,2024,3
23,閒置中,電巴車齡4年,2024,69
