,status,route_name,month,count
0,充電中,橘11A,2023-11,38
1,值勤中,橘11A,2023-11,61
2,備用中,橘11A,2023-11,31
3,閒置中,橘11A,2023-11,90
4,充電中,60覺民幹線區間車,2023-11,19
5,值勤中,60覺民幹線區間車,2023-11,59
6,備用中,60覺民幹線區間車,2023-11,57
7,閒置中,60覺民幹線區間車,2023-11,97
8,充電中,E04燕巢學園快線,2023-11,10
9,值勤中,E04燕巢學園快線,2023-11,8
10,備用中,E04燕巢學園快線,2023-11,69
11,閒置中,E04燕巢學園快線,2023-11,81
12,充電中,橘12(白天延駛澄清湖),2023-11,59
13,值勤中,橘12(白天延駛澄清湖),2023-11,14
14,備用中,橘12(白天延駛澄清湖),2023-11,2
15,閒置中,橘12(白天延駛澄清湖),2023-11,6
16,充電中,橘11B,2023-11,82
17,值勤中,橘11B,2023-11,72
18,備用中,橘11B,2023-11,61
19,閒置中,橘11B,2023-11,80
20,充電中,橘11A區間車,2023-11,37
21,值勤中,橘11A區間車,2023-11,72
22,備用中,橘11A區間車,2023-11,35
23,閒置中,橘11A區間車,2023-11,45
