,status,bus_age,route_name,yyyymmdd,count
0,充電中,電巴車齡3年,60覺民幹線,2012-02-27,99
1,值勤中,電巴車齡3年,60覺民幹線,2012-02-27,46
2,備用中,電巴車齡3年,60覺民幹線,2012-02-27,87
3,閒置中,電巴車齡3年,60覺民幹線,2012-02-27,82
4,充電中,電巴車齡3年,60覺民幹線,2012-02-28,90
5,值勤中,電巴車齡3年,60覺民幹線,2012-02-28,10
6,備用中,電巴車齡3年,60覺民幹線,2012-02-28,17
7,閒置中,電巴車齡3年,60覺民幹線,2012-02-28,80
8,充電中,電巴車齡3年,60覺民幹線,2012-02-29,78
9,值勤中,電巴車齡3年,60覺民幹線,2012-02-29,100
10,備用中,電巴車齡3年,60覺民幹線,2012-02-29,22
11,閒置中,電巴車齡3年,60覺民幹線,2012-02-29,79
12,充電中,電巴車齡3年,60覺民幹線,2012-03-01,45
13,值勤中,電巴車齡3年,60覺民幹線,2012-03-01,7
14,備用中,電巴車齡3年,60覺民幹線,2012-03-01,69
15,閒置中,電巴車齡3年,60覺民幹線,2012-03-01,22
16,充電中,電巴車齡3年,60覺民幹線,2012-03-02,8
17,值勤中,電巴車齡3年,60覺民幹線,2012-03-02,98
18,備用中,電巴車齡3年,60覺民幹線,2012-03-02,3
19,閒置中,電巴車齡3年,60覺民幹線,2012-03-02,81
20,充電中,電巴車齡3年,60覺民幹線,2012-03-03,37
21,值勤中,電巴車齡3年,60覺民幹線,2012-03-03,23
22,備用中,電巴車齡3年,60覺民幹線,2012-03-03,74
23,閒置中,電巴車齡3年,60覺民幹線,2012-03-03,4
24,充電中,電巴車齡3年,60覺民幹線,2012-03-04,72
25,值勤中,電巴車齡3年,60覺民幹線,2012-03-04,47
26,備用中,電巴車齡3年,60覺民幹線,2012-03-04,33
27,閒置中,電巴車齡3年,60覺民幹線,2012-03-04,95
28,充電中,電巴車齡3年,60覺民幹線,2012-03-05,21
29,值勤中,電巴車齡3年,60覺民幹線,2012-03-05,76
30,備用中,電巴車齡3年,60覺民幹線,2012-03-05,26
31,閒置中,電巴車齡3年,60覺民幹線,2012-03-05,33
32,充電中,電巴車齡3年,60覺民幹線,2012-03-06,84
33,值勤中,電巴車齡3年,60覺民幹線,2012-03-06,34
34,備用中,電巴車齡3年,60覺民幹線,2012-03-06,54
35,閒置中,電巴車齡3年,60覺民幹線,2012-03-06,44
36,充電中,電巴車齡3年,60覺民幹線,2012-03-07,70
37,值勤中,電巴車齡3年,60覺民幹線,2012-03-07,33
38,備用中,電巴車齡3年,60覺民幹線,2012-03-07,77
39,閒置中,電巴車齡3年,60覺民幹線,2012-03-07,76
40,充電中,電巴車齡3年,60覺民幹線,2012-03-08,60
