,route_name,month,dcp,driven_distance_estimation,total_charging_kw
0,橘12(白天延駛澄清湖),2023-06,86,50,67
1,橘11A,2023-06,78,5,94
2,橘11A區間車,2023-06,47,87,46
3,E04燕巢學園快線,2023-06,75,47,44
4,60覺民幹線區間車,2023-06,39,14,48
5,60覺民幹線,2023-06,22,28,6
6,橘12(白天延駛澄清湖),2023-07,58,36,39
7,橘11A,2023-07,26,26,98
8,橘11A區間車,2023-07,26,36,74
9,E04燕巢學園快線,2023-07,88,70,31
10,60覺民幹線區間車,2023-07,90,86,12
11,60覺民幹線,2023-07,2,96,32
12,橘12(白天延駛澄清湖),2023-08,10,10,100
13,橘11A,2023-08,95,27,12
14,橘11A區間車,2023-08,35,79,47
15,E04燕巢學園快線,2023-08,65,41,11
16,60覺民幹線區間車,2023-08,48,16,21
17,60覺民幹線,2023-08,17,81,73
18,橘12(白天延駛澄清湖),2023-09,84,2,92
19,橘11A,2023-09,36,40,81
20,橘11A區間車,2023-09,32,97,26
21,E04燕巢學園快線,2023-09,3,36,42
22,60覺民幹線區間車,2023-09,43,60,46
23,60覺民幹線,2023-09,58,74,76
24,橘12(白天延駛澄清湖),2023-10,91,21,45
25,橘11A,2023-10,63,30,23
26,橘11A區間車,2023-10,87,50,24
27,E04燕巢學園快線,2023-10,100,32,26
28,60覺民幹線區間車,2023-10,60,25,70
29,60覺民幹線,2023-10,41,91,58
30,橘12(白天延駛澄清湖),2023-11,78,24,53
31,橘11A,2023-11,11,57,64
32,橘11A區間車,2023-11,55,23,38
33,E04燕巢學園快線,2023-11,64,54,5
34,60覺民幹線區間車,2023-11,37,82,81
35,60覺民幹線,2023-11,46,72,99
