,bus_age,route_name,day,car_used_percentage
0,電巴車齡4年,E04燕巢學園快線,2023-03-16,33
1,電巴車齡5年,E04燕巢學園快線,2023-03-16,55
2,電巴車齡4年,E04燕巢學園快線,2023-03-17,95
3,電巴車齡5年,E04燕巢學園快線,2023-03-17,4
4,電巴車齡4年,E04燕巢學園快線,2023-03-18,86
5,電巴車齡5年,E04燕巢學園快線,2023-03-18,24
6,電巴車齡4年,E04燕巢學園快線,2023-03-19,49
7,電巴車齡5年,E04燕巢學園快線,2023-03-19,42
8,電巴車齡4年,E04燕巢學園快線,2023-03-20,10
9,電巴車齡5年,E04燕巢學園快線,2023-03-20,55
10,電巴車齡4年,E04燕巢學園快線,2023-03-21,78
11,電巴車齡5年,E04燕巢學園快線,2023-03-21,7
12,電巴車齡4年,E04燕巢學園快線,2023-03-22,41
13,電巴車齡5年,E04燕巢學園快線,2023-03-22,26
14,電巴車齡4年,E04燕巢學園快線,2023-03-23,6
15,電巴車齡5年,E04燕巢學園快線,2023-03-23,69
16,電巴車齡4年,E04燕巢學園快線,2023-03-24,6
17,電巴車齡5年,E04燕巢學園快線,2023-03-24,61
18,電巴車齡4年,E04燕巢學園快線,2023-03-25,51
19,電巴車齡5年,E04燕巢學園快線,2023-03-25,42
20,電巴車齡4年,E04燕巢學園快線,2023-03-26,84
21,電巴車齡5年,E04燕巢學園快線,2023-03-26,84
22,電巴車齡4年,E04燕巢學園快線,2023-03-27,3
23,電巴車齡5年,E04燕巢學園快線,2023-03-27,80
24,電巴車齡4年,E04燕巢學園快線,2023-03-28,79
25,電巴車齡5年,E04燕巢學園快線,2023-03-28,40
26,電巴車齡4年,E04燕巢學園快線,2023-03-29,38
27,電巴車齡5年,E04燕巢學園快線,2023-03-29,12
28,電巴車齡4年,E04燕巢學園快線,2023-03-30,4
29,電巴車齡5年,E04燕巢學園快線,2023-03-30,73
30,電巴車齡4年,E04燕巢學園快線,2023-03-31,97
31,電巴車齡5年,E04燕巢學園快線,2023-03-31,77
32,電巴車齡4年,E04燕巢學園快線,2023-04-01,78
33,電巴車齡5年,E04燕巢學園快線,2023-04-01,28
34,電巴車齡4年,E04燕巢學園快線,2023-04-02,50
35,電巴車齡5年,E04燕巢學園快線,2023-04-02,22
36,電巴車齡4年,E04燕巢學園快線,2023-04-03,19
37,電巴車齡5年,E04燕巢學園快線,2023-04-03,16
38,電巴車齡4年,E04燕巢學園快線,2023-04-04,37
39,電巴車齡5年,E04燕巢學園快線,2023-04-04,77
40,電巴車齡4年,E04燕巢學園快線,2023-04-05,86
41,電巴車齡5年,E04燕巢學園快線,2023-04-05,94
42,電巴車齡4年,E04燕巢學園快線,2023-04-06,12
43,電巴車齡5年,E04燕巢學園快線,2023-04-06,39
44,電巴車齡4年,E04燕巢學園快線,2023-04-07,80
45,電巴車齡5年,E04燕巢學園快線,2023-04-07,56
46,電巴車齡4年,E04燕巢學園快線,2023-04-08,2
47,電巴車齡5年,E04燕巢學園快線,2023-04-08,78
48,電巴車齡4年,E04燕巢學園快線,2023-04-09,59
49,電巴車齡5年,E04燕巢學園快線,2023-04-09,7
50,電巴車齡4年,E04燕巢學園快線,2023-04-10,51
51,電巴車齡5年,E04燕巢學園快線,2023-04-10,7
52,電巴車齡4年,E04燕巢學園快線,2023-04-11,33
53,電巴車齡5年,E04燕巢學園快線,2023-04-11,15
54,電巴車齡4年,E04燕巢學園快線,2023-04-12,83
55,電巴車齡5年,E04燕巢學園快線,2023-04-12,87
56,電巴車齡4年,E04燕巢學園快線,2023-04-13,20
57,電巴車齡5年,E04燕巢學園快線,2023-04-13,87
58,電巴車齡4年,E04燕巢學園快線,2023-04-14,51
59,電巴車齡5年,E04燕巢學園快線,2023-04-14,85
60,電巴車齡4年,E04燕巢學園快線,2023-04-15,91
61,電巴車齡5年,E04燕巢學園快線,2023-04-15,88
62,電巴車齡4年,E04燕巢學園快線,2023-04-16,3
63,電巴車齡5年,E04燕巢學園快線,2023-04-16,11
64,電巴車齡4年,E04燕巢學園快線,2023-04-17,95
65,電巴車齡5年,E04燕巢學園快線,2023-04-17,26
66,電巴車齡4年,E04燕巢學園快線,2023-04-18,41
67,電巴車齡5年,E04燕巢學園快線,2023-04-18,24
68,電巴車齡4年,E04燕巢學園快線,2023-04-19,69
69,電巴車齡5年,E04燕巢學園快線,2023-04-19,27
70,電巴車齡4年,E04燕巢學園快線,2023-04-20,67
71,電巴車齡5年,E04燕巢學園快線,2023-04-20,42
72,電巴車齡4年,E04燕巢學園快線,2023-04-21,67
73,電巴車齡5年,E04燕巢學園快線,2023-04-21,87
74,電巴車齡4年,E04燕巢學園快線,2023-04-22,100
75,電巴車齡5年,E04燕巢學園快線,2023-04-22,21
76,電巴車齡4年,E04燕巢學園快線,2023-04-23,42
77,電巴車齡5年,E04燕巢學園快線,2023-04-23,53
78,電巴車齡4年,E04燕巢學園快線,2023-04-24,73
79,電巴車齡5年,E04燕巢學園快線,2023-04-24,16
80,電巴車齡4年,E04燕巢學園快線,2023-04-25,68
81,電巴車齡5年,E04燕巢學園快線,2023-04-25,90
82,電巴車齡4年,E04燕巢學園快線,2023-04-26,58
83,電巴車齡5年,E04燕巢學園快線,2023-04-26,15
84,電巴車齡4年,E04燕巢學園快線,2023-04-27,2
85,電巴車齡5年,E04燕巢學園快線,2023-04-27,9
86,電巴車齡4年,E04燕巢學園快線,2023-04-28,41
87,電巴車齡5年,E04燕巢學園快線,2023-04-28,26
88,電巴車齡4年,E04燕巢學園快線,2023-04-29,3
89,電巴車齡5年,E04燕巢學園快線,2023-04-29,56
90,電巴車齡4年,E04燕巢學園快線,2023-04-30,12
91,電巴車齡5年,E04燕巢學園快線,2023-04-30,82
92,電巴車齡4年,E04燕巢學園快線,2023-05-01,23
93,電巴車齡5年,E04燕巢學園快線,2023-05-01,41
94,電巴車齡4年,E04燕巢學園快線,2023-05-02,92
95,電巴車齡5年,E04燕巢學園快線,2023-05-02,76
96,電巴車齡4年,E04燕巢學園快線,2023-05-03,97
97,電巴車齡5年,E04燕巢學園快線,2023-05-03,97
98,電巴車齡4年,E04燕巢學園快線,2023-05-04,92
99,電巴車齡5年,E04燕巢學園快線,2023-05-04,40
100,電巴車齡4年,E04燕巢學園快線,2023-05-05,98
101,電巴車齡5年,E04燕巢學園快線,2023-05-05,84
102,電巴車齡4年,E04燕巢學園快線,2023-05-06,35
103,電巴車齡5年,E04燕巢學園快線,2023-05-06,52
104,電巴車齡4年,E04燕巢學園快線,2023-05-07,92
105,電巴車齡5年,E04燕巢學園快線,2023-05-07,10
106,電巴車齡4年,E04燕巢學園快線,2023-05-08,4
107,電巴車齡5年,E04燕巢學園快線,2023-05-08,89
108,電巴車齡4年,E04燕巢學園快線,2023-05-09,55
109,電巴車齡5年,E04燕巢學園快線,2023-05-09,7
110,電巴車齡4年,E04燕巢學園快線,2023-05-10,71
111,電巴車齡5年,E04燕巢學園快線,2023-05-10,36
112,電巴車齡4年,E04燕巢學園快線,2023-05-11,8
113,電巴車齡5年,E04燕巢學園快線,2023-05-11,36
114,電巴車齡4年,E04燕巢學園快線,2023-05-12,76
115,電巴車齡5年,E04燕巢學園快線,2023-05-12,73
116,電巴車齡4年,E04燕巢學園快線,2023-05-13,23
117,電巴車齡5年,E04燕巢學園快線,2023-05-13,92
118,電巴車齡4年,E04燕巢學園快線,2023-05-14,35
119,電巴車齡5年,E04燕巢學園快線,2023-05-14,49
120,電巴車齡4年,E04燕巢學園快線,2023-05-15,87
121,電巴車齡5年,E04燕巢學園快線,2023-05-15,5
122,電巴車齡4年,E04燕巢學園快線,2023-05-16,5
123,電巴車齡5年,E04燕巢學園快線,2023-05-16,67
124,電巴車齡4年,E04燕巢學園快線,2023-05-17,86
125,電巴車齡5年,E04燕巢學園快線,2023-05-17,23
126,電巴車齡4年,E04燕巢學園快線,2023-05-18,98
127,電巴車齡5年,E04燕巢學園快線,2023-05-18,97
128,電巴車齡4年,E04燕巢學園快線,2023-05-19,47
129,電巴車齡5年,E04燕巢學園快線,2023-05-19,32
130,電巴車齡4年,E04燕巢學園快線,2023-05-20,29
131,電巴車齡5年,E04燕巢學園快線,2023-05-20,39
132,電巴車齡4年,E04燕巢學園快線,2023-05-21,19
133,電巴車齡5年,E04燕巢學園快線,2023-05-21,60
134,電巴車齡4年,E04燕巢學園快線,2023-05-22,25
135,電巴車齡5年,E04燕巢學園快線,2023-05-22,59
136,電巴車齡4年,E04燕巢學園快線,2023-05-23,12
137,電巴車齡5年,E04燕巢學園快線,2023-05-23,88
138,電巴車齡4年,E04燕巢學園快線,2023-05-24,34
139,電巴車齡5年,E04燕巢學園快線,2023-05-24,92
140,電巴車齡4年,E04燕巢學園快線,2023-05-25,55
141,電巴車齡5年,E04燕巢學園快線,2023-05-25,10
142,電巴車齡4年,E04燕巢學園快線,2023-05-26,23
143,電巴車齡5年,E04燕巢學園快線,2023-05-26,36
144,電巴車齡4年,E04燕巢學園快線,2023-05-27,63
145,電巴車齡5年,E04燕巢學園快線,2023-05-27,70
146,電巴車齡4年,E04燕巢學園快線,2023-05-28,94
147,電巴車齡5年,E04燕巢學園快線,2023-05-28,57
148,電巴車齡4年,E04燕巢學園快線,2023-05-29,94
149,電巴車齡5年,E04燕巢學園快線,2023-05-29,19
150,電巴車齡4年,E04燕巢學園快線,2023-05-30,50
151,電巴車齡5年,E04燕巢學園快線,2023-05-30,82
152,電巴車齡4年,E04燕巢學園快線,2023-05-31,78
153,電巴車齡5年,E04燕巢學園快線,2023-05-31,70
154,電巴車齡4年,E04燕巢學園快線,2023-06-01,43
155,電巴車齡5年,E04燕巢學園快線,2023-06-01,76
156,電巴車齡4年,E04燕巢學園快線,2023-06-02,71
157,電巴車齡5年,E04燕巢學園快線,2023-06-02,28
158,電巴車齡4年,E04燕巢學園快線,2023-06-03,92
159,電巴車齡5年,E04燕巢學園快線,2023-06-03,9
160,電巴車齡4年,E04燕巢學園快線,2023-06-04,37
161,電巴車齡5年,E04燕巢學園快線,2023-06-04,33
162,電巴車齡4年,E04燕巢學園快線,2023-06-05,82
163,電巴車齡5年,E04燕巢學園快線,2023-06-05,62
164,電巴車齡4年,E04燕巢學園快線,2023-06-06,45
165,電巴車齡5年,E04燕巢學園快線,2023-06-06,67
166,電巴車齡4年,E04燕巢學園快線,2023-06-07,25
167,電巴車齡5年,E04燕巢學園快線,2023-06-07,31
168,電巴車齡4年,E04燕巢學園快線,2023-06-08,37
169,電巴車齡5年,E04燕巢學園快線,2023-06-08,74
170,電巴車齡4年,E04燕巢學園快線,2023-06-09,63
171,電巴車齡5年,E04燕巢學園快線,2023-06-09,60
172,電巴車齡4年,E04燕巢學園快線,2023-06-10,39
173,電巴車齡5年,E04燕巢學園快線,2023-06-10,73
174,電巴車齡4年,E04燕巢學園快線,2023-06-11,85
175,電巴車齡5年,E04燕巢學園快線,2023-06-11,85
176,電巴車齡4年,E04燕巢學園快線,2023-06-12,94
177,電巴車齡5年,E04燕巢學園快線,2023-06-12,67
178,電巴車齡4年,E04燕巢學園快線,2023-06-13,64
179,電巴車齡5年,E04燕巢學園快線,2023-06-13,47
180,電巴車齡4年,E04燕巢學園快線,2023-06-14,34
181,電巴車齡5年,E04燕巢學園快線,2023-06-14,68
182,電巴車齡4年,E04燕巢學園快線,2023-06-15,8
183,電巴車齡5年,E04燕巢學園快線,2023-06-15,84
184,電巴車齡4年,E04燕巢學園快線,2023-06-16,17
185,電巴車齡5年,E04燕巢學園快線,2023-06-16,66
