ts,bus_age,route_name,total_charging_estimation_kw
2023,電巴車齡不到1年,60覺民幹線,37
2023,電巴車齡不到1年,橘12(白天延駛澄清湖),62
2023,電巴車齡不到1年,橘11A,65
2023,電巴車齡不到1年,橘11A區間車,22
2023,電巴車齡不到1年,橘11B,2
2023,電巴車齡不到1年,60覺民幹線區間車,94
2023,電巴車齡不到1年,E04燕巢學園快線,27
2023,電巴車齡1年,60覺民幹線,28
2023,電巴車齡1年,橘12(白天延駛澄清湖),80
2023,電巴車齡1年,橘11A,100
2023,電巴車齡1年,橘11A區間車,24
2023,電巴車齡1年,橘11B,97
2023,電巴車齡1年,60覺民幹線區間車,76
2023,電巴車齡1年,E04燕巢學園快線,11
2023,電巴車齡2年,60覺民幹線,47
2023,電巴車齡2年,橘12(白天延駛澄清湖),32
2023,電巴車齡2年,橘11A,5
2023,電巴車齡2年,橘11A區間車,22
2023,電巴車齡2年,橘11B,21
2023,電巴車齡2年,60覺民幹線區間車,97
2023,電巴車齡2年,E04燕巢學園快線,69
2023,電巴車齡3年,60覺民幹線,69
2023,電巴車齡3年,橘12(白天延駛澄清湖),21
2023,電巴車齡3年,橘11A,49
2023,電巴車齡3年,橘11A區間車,81
2023,電巴車齡3年,橘11B,27
2023,電巴車齡3年,60覺民幹線區間車,60
2023,電巴車齡3年,E04燕巢學園快線,44
2023,電巴車齡5年,60覺民幹線,64
2023,電巴車齡5年,橘12(白天延駛澄清湖),98
2023,電巴車齡5年,橘11A,67
2023,電巴車齡5年,橘11A區間車,41
2023,電巴車齡5年,橘11B,50
2023,電巴車齡5年,60覺民幹線區間車,61
2023,電巴車齡5年,E04燕巢學園快線,100
2023,電巴車齡超過5年,60覺民幹線,97
2023,電巴車齡超過5年,橘12(白天延駛澄清湖),95
2023,電巴車齡超過5年,橘11A,15
2023,電巴車齡超過5年,橘11A區間車,29
2023,電巴車齡超過5年,橘11B,70
2023,電巴車齡超過5年,60覺民幹線區間車,77
2023,電巴車齡超過5年,E04燕巢學園快線,30
