ts,depot,route_name,status,count
2018,鳳山站,E04燕巢學園快線,充電中,75
2019,鳳山站,E04燕巢學園快線,充電中,5
2020,鳳山站,E04燕巢學園快線,充電中,71
2021,鳳山站,E04燕巢學園快線,充電中,33
2022,鳳山站,E04燕巢學園快線,充電中,1
2023,鳳山站,E04燕巢學園快線,充電中,74
2018,鳳山站,E04燕巢學園快線,值勤中,2
2019,鳳山站,E04燕巢學園快線,值勤中,26
2020,鳳山站,E04燕巢學園快線,值勤中,52
2021,鳳山站,E04燕巢學園快線,值勤中,8
2022,鳳山站,E04燕巢學園快線,值勤中,25
2023,鳳山站,E04燕巢學園快線,值勤中,83
2018,鳳山站,E04燕巢學園快線,備用中,50
2019,鳳山站,E04燕巢學園快線,備用中,13
2020,鳳山站,E04燕巢學園快線,備用中,26
2021,鳳山站,E04燕巢學園快線,備用中,46
2022,鳳山站,E04燕巢學園快線,備用中,95
2023,鳳山站,E04燕巢學園快線,備用中,64
2018,鳳山站,E04燕巢學園快線,閒置中,84
2019,鳳山站,E04燕巢學園快線,閒置中,13
2020,鳳山站,E04燕巢學園快線,閒置中,84
2021,鳳山站,E04燕巢學園快線,閒置中,13
2022,鳳山站,E04燕巢學園快線,閒置中,94
2023,鳳山站,E04燕巢學園快線,閒置中,5
