ts,bus_age,driven_distance,on_time_percentage,total_charging_kw,total_charging_estimation_kw,dcp
2023-05,電巴車齡不到1年,91,78,76,10,32
2023-06,電巴車齡不到1年,2,56,81,69,24
2023-07,電巴車齡不到1年,58,47,85,55,65
2023-08,電巴車齡不到1年,26,84,61,22,46
2023-09,電巴車齡不到1年,11,28,37,74,65
2023-10,電巴車齡不到1年,31,3,43,50,32
2023-05,電巴車齡1年,70,41,99,70,82
2023-06,電巴車齡1年,57,46,75,28,21
2023-07,電巴車齡1年,36,55,99,97,93
2023-08,電巴車齡1年,47,4,5,41,8
2023-09,電巴車齡1年,4,93,40,26,74
2023-10,電巴車齡1年,47,42,8,70,66
2023-05,電巴車齡2年,38,33,82,27,50
2023-06,電巴車齡2年,88,73,95,39,40
2023-07,電巴車齡2年,46,51,9,52,31
2023-08,電巴車齡2年,61,67,8,10,84
2023-09,電巴車齡2年,65,18,10,99,40
2023-10,電巴車齡2年,9,78,93,75,53
2023-05,電巴車齡3年,95,5,48,87,59
2023-06,電巴車齡3年,34,85,88,15,83
2023-07,電巴車齡3年,86,83,89,63,37
2023-08,電巴車齡3年,31,44,15,51,91
2023-09,電巴車齡3年,1,3,70,88,52
2023-10,電巴車齡3年,37,66,55,46,64
2023-05,電巴車齡4年,17,14,89,13,16
2023-06,電巴車齡4年,78,58,92,77,81
2023-07,電巴車齡4年,1,76,23,77,68
2023-08,電巴車齡4年,19,23,67,48,92
2023-09,電巴車齡4年,91,24,90,42,73
2023-10,電巴車齡4年,53,91,24,73,22
2023-05,電巴車齡5年,65,49,52,81,100
2023-06,電巴車齡5年,32,1,97,92,40
2023-07,電巴車齡5年,75,45,88,21,76
2023-08,電巴車齡5年,6,56,15,6,49
2023-09,電巴車齡5年,80,1,87,7,98
2023-10,電巴車齡5年,72,70,90,23,62
2023-05,電巴車齡超過5年,53,52,36,80,62
2023-06,電巴車齡超過5年,32,87,37,87,56
2023-07,電巴車齡超過5年,73,64,64,31,77
2023-08,電巴車齡超過5年,95,48,50,90,33
2023-09,電巴車齡超過5年,40,48,98,69,49
2023-10,電巴車齡超過5年,84,88,60,69,71
