,depot,bus_age,yyyymmdd,on_time_percentage
0,鳳山站,電巴車齡不到1年,2020-08-09,26
1,楠梓站,電巴車齡不到1年,2020-08-09,16
2,高雄站,電巴車齡不到1年,2020-08-09,16
3,鳳山站,電巴車齡4年,2020-08-09,75
4,楠梓站,電巴車齡4年,2020-08-09,50
5,高雄站,電巴車齡4年,2020-08-09,64
6,鳳山站,電巴車齡2年,2020-08-09,41
7,楠梓站,電巴車齡2年,2020-08-09,52
8,高雄站,電巴車齡2年,2020-08-09,22
9,鳳山站,電巴車齡1年,2020-08-09,94
10,楠梓站,電巴車齡1年,2020-08-09,46
11,高雄站,電巴車齡1年,2020-08-09,30
12,鳳山站,電巴車齡3年,2020-08-09,63
13,楠梓站,電巴車齡3年,2020-08-09,96
14,高雄站,電巴車齡3年,2020-08-09,86
15,鳳山站,電巴車齡5年,2020-08-09,49
16,楠梓站,電巴車齡5年,2020-08-09,85
17,高雄站,電巴車齡5年,2020-08-09,99
