ts,depot,count,driven_distance
2014-01,鳳山站,81,69
2014-02,鳳山站,34,44
2014-03,鳳山站,42,24
2014-04,鳳山站,32,2
2014-05,鳳山站,47,3
2014-06,鳳山站,35,62
2014-07,鳳山站,27,85
2014-08,鳳山站,10,67
2014-09,鳳山站,8,10
2014-10,鳳山站,49,8
2014-11,鳳山站,37,6
2014-12,鳳山站,52,18
2014-01,楠梓站,71,87
2014-02,楠梓站,14,40
2014-03,楠梓站,18,66
2014-04,楠梓站,67,63
2014-05,楠梓站,42,85
2014-06,楠梓站,47,43
2014-07,楠梓站,5,80
2014-08,楠梓站,52,38
2014-09,楠梓站,57,80
2014-10,楠梓站,16,49
2014-11,楠梓站,44,60
2014-12,楠梓站,78,72
2014-01,高雄站,83,82
2014-02,高雄站,1,87
2014-03,高雄站,69,81
2014-04,高雄站,31,75
2014-05,高雄站,48,26
2014-06,高雄站,33,88
2014-07,高雄站,23,83
2014-08,高雄站,78,37
2014-09,高雄站,13,95
2014-10,高雄站,8,76
2014-11,高雄站,69,20
2014-12,高雄站,15,17
