,status,depot,route_name,month,count
0,充電中,楠梓站,橘11A,2021-01,64
1,值勤中,楠梓站,橘11A,2021-01,25
2,備用中,楠梓站,橘11A,2021-01,39
3,閒置中,楠梓站,橘11A,2021-01,7
4,充電中,楠梓站,橘11A,2021-02,88
5,值勤中,楠梓站,橘11A,2021-02,5
6,備用中,楠梓站,橘11A,2021-02,9
7,閒置中,楠梓站,橘11A,2021-02,11
8,充電中,楠梓站,橘11A,2021-03,39
9,值勤中,楠梓站,橘11A,2021-03,24
10,備用中,楠梓站,橘11A,2021-03,24
11,閒置中,楠梓站,橘11A,2021-03,40
12,充電中,楠梓站,橘11A,2021-04,15
13,值勤中,楠梓站,橘11A,2021-04,41
14,備用中,楠梓站,橘11A,2021-04,91
15,閒置中,楠梓站,橘11A,2021-04,18
16,充電中,楠梓站,橘11A,2021-05,99
17,值勤中,楠梓站,橘11A,2021-05,41
18,備用中,楠梓站,橘11A,2021-05,21
19,閒置中,楠梓站,橘11A,2021-05,63
20,充電中,楠梓站,橘11A,2021-06,88
21,值勤中,楠梓站,橘11A,2021-06,10
22,備用中,楠梓站,橘11A,2021-06,42
23,閒置中,楠梓站,橘11A,2021-06,19
24,充電中,楠梓站,橘11A,2021-07,75
25,值勤中,楠梓站,橘11A,2021-07,2
26,備用中,楠梓站,橘11A,2021-07,31
27,閒置中,楠梓站,橘11A,2021-07,15
28,充電中,楠梓站,橘11A,2021-08,22
29,值勤中,楠梓站,橘11A,2021-08,98
30,備用中,楠梓站,橘11A,2021-08,46
31,閒置中,楠梓站,橘11A,2021-08,84
32,充電中,楠梓站,橘11A,2021-09,67
33,值勤中,楠梓站,橘11A,2021-09,96
34,備用中,楠梓站,橘11A,2021-09,93
35,閒置中,楠梓站,橘11A,2021-09,99
36,充電中,楠梓站,橘11A,2021-10,62
37,值勤中,楠梓站,橘11A,2021-10,34
38,備用中,楠梓站,橘11A,2021-10,15
39,閒置中,楠梓站,橘11A,2021-10,58
40,充電中,楠梓站,橘11A,2021-11,57
41,值勤中,楠梓站,橘11A,2021-11,53
42,備用中,楠梓站,橘11A,2021-11,35
43,閒置中,楠梓站,橘11A,2021-11,21
44,充電中,楠梓站,橘11A,2021-12,10
45,值勤中,楠梓站,橘11A,2021-12,32
46,備用中,楠梓站,橘11A,2021-12,96
47,閒置中,楠梓站,橘11A,2021-12,75
