,depot,route_name,day,dcp
0,鳳山站,橘12(白天延駛澄清湖),2023-11-29,11
1,楠梓站,橘12(白天延駛澄清湖),2023-11-29,88
2,高雄站,橘12(白天延駛澄清湖),2023-11-29,69
3,鳳山站,橘11A區間車,2023-11-29,60
4,楠梓站,橘11A區間車,2023-11-29,1
5,高雄站,橘11A區間車,2023-11-29,26
6,鳳山站,橘11A,2023-11-29,61
7,楠梓站,橘11A,2023-11-29,41
8,高雄站,橘11A,2023-11-29,22
9,鳳山站,橘11B,2023-11-29,98
10,楠梓站,橘11B,2023-11-29,68
11,高雄站,橘11B,2023-11-29,88
12,鳳山站,60覺民幹線,2023-11-29,86
13,楠梓站,60覺民幹線,2023-11-29,83
14,高雄站,60覺民幹線,2023-11-29,4
15,鳳山站,60覺民幹線區間車,2023-11-29,5
16,楠梓站,60覺民幹線區間車,2023-11-29,80
17,高雄站,60覺民幹線區間車,2023-11-29,5
