ts,route_name,ddcp,driven_distance,total_charging_estimation_kw,car_used_percentage
2008-01-04,E04燕巢學園快線,70,2,3,34
2008-01-05,E04燕巢學園快線,57,53,63,27
2008-01-06,E04燕巢學園快線,83,31,98,31
2008-01-07,E04燕巢學園快線,84,4,36,75
2008-01-08,E04燕巢學園快線,51,23,95,4
2008-01-09,E04燕巢學園快線,92,83,98,13
2008-01-10,E04燕巢學園快線,17,64,70,53
2008-01-11,E04燕巢學園快線,34,19,5,38
2008-01-12,E04燕巢學園快線,91,100,45,23
2008-01-13,E04燕巢學園快線,22,22,61,71
2008-01-14,E04燕巢學園快線,30,92,85,17
2008-01-15,E04燕巢學園快線,70,100,15,25
2008-01-16,E04燕巢學園快線,59,27,42,40
2008-01-17,E04燕巢學園快線,15,88,2,4
2008-01-18,E04燕巢學園快線,8,83,87,13
2008-01-19,E04燕巢學園快線,34,10,82,2
2008-01-20,E04燕巢學園快線,16,5,20,93
2008-01-21,E04燕巢學園快線,22,20,41,27
2008-01-22,E04燕巢學園快線,59,35,62,48
2008-01-23,E04燕巢學園快線,33,86,14,2
2008-01-24,E04燕巢學園快線,23,79,78,7
2008-01-25,E04燕巢學園快線,29,53,99,17
2008-01-26,E04燕巢學園快線,29,70,88,27
2008-01-27,E04燕巢學園快線,19,30,54,11
2008-01-28,E04燕巢學園快線,75,91,49,58
2008-01-29,E04燕巢學園快線,12,16,16,25
2008-01-30,E04燕巢學園快線,39,91,86,39
2008-01-31,E04燕巢學園快線,44,19,46,17
2008-02-01,E04燕巢學園快線,34,17,41,14
2008-02-02,E04燕巢學園快線,43,62,72,99
2008-02-03,E04燕巢學園快線,52,43,32,18
2008-02-04,E04燕巢學園快線,47,17,6,78
2008-02-05,E04燕巢學園快線,35,94,54,87
2008-02-06,E04燕巢學園快線,20,94,11,60
2008-02-07,E04燕巢學園快線,8,26,44,70
2008-02-08,E04燕巢學園快線,27,91,11,9
2008-02-09,E04燕巢學園快線,59,82,31,68
2008-02-10,E04燕巢學園快線,81,91,34,15
2008-02-11,E04燕巢學園快線,39,84,30,37
2008-02-12,E04燕巢學園快線,64,93,23,62
2008-02-13,E04燕巢學園快線,47,43,65,32
2008-02-14,E04燕巢學園快線,80,58,29,67
2008-02-15,E04燕巢學園快線,80,19,71,29
2008-02-16,E04燕巢學園快線,1,79,92,81
2008-02-17,E04燕巢學園快線,53,20,62,88
2008-02-18,E04燕巢學園快線,15,52,49,66
2008-02-19,E04燕巢學園快線,69,98,49,5
2008-02-20,E04燕巢學園快線,100,28,98,30
2008-02-21,E04燕巢學園快線,18,32,39,84
2008-02-22,E04燕巢學園快線,6,37,78,78
2008-02-23,E04燕巢學園快線,68,49,27,15
2008-02-24,E04燕巢學園快線,96,31,56,86
2008-02-25,E04燕巢學園快線,23,41,16,7
2008-02-26,E04燕巢學園快線,60,42,42,50
2008-02-27,E04燕巢學園快線,66,20,42,71
2008-02-28,E04燕巢學園快線,29,93,16,8
2008-02-29,E04燕巢學園快線,66,94,11,98
2008-03-01,E04燕巢學園快線,26,56,72,40
2008-03-02,E04燕巢學園快線,26,69,25,35
2008-03-03,E04燕巢學園快線,33,57,92,28
2008-03-04,E04燕巢學園快線,85,83,57,13
2008-03-05,E04燕巢學園快線,24,87,39,64
2008-03-06,E04燕巢學園快線,50,2,34,78
2008-03-07,E04燕巢學園快線,54,75,36,8
2008-03-08,E04燕巢學園快線,24,92,62,78
2008-03-09,E04燕巢學園快線,93,89,20,53
2008-03-10,E04燕巢學園快線,14,24,29,94
2008-03-11,E04燕巢學園快線,31,86,7,42
2008-03-12,E04燕巢學園快線,82,1,24,63
2008-03-13,E04燕巢學園快線,5,86,84,5
2008-03-14,E04燕巢學園快線,89,84,81,13
2008-03-15,E04燕巢學園快線,95,14,63,58
2008-03-16,E04燕巢學園快線,30,39,61,71
2008-03-17,E04燕巢學園快線,31,18,31,52
2008-03-18,E04燕巢學園快線,90,32,87,2
2008-03-19,E04燕巢學園快線,15,86,38,70
2008-03-20,E04燕巢學園快線,100,45,68,53
2008-03-21,E04燕巢學園快線,45,51,93,49
2008-03-22,E04燕巢學園快線,99,75,22,18
2008-03-23,E04燕巢學園快線,55,77,24,27
2008-03-24,E04燕巢學園快線,59,10,39,6
2008-03-25,E04燕巢學園快線,54,8,73,4
2008-03-26,E04燕巢學園快線,55,99,90,92
2008-03-27,E04燕巢學園快線,100,66,66,96
2008-03-28,E04燕巢學園快線,19,12,74,50
2008-03-29,E04燕巢學園快線,67,82,29,17
2008-03-30,E04燕巢學園快線,82,71,58,48
2008-03-31,E04燕巢學園快線,71,2,40,76
2008-04-01,E04燕巢學園快線,36,80,53,71
2008-04-02,E04燕巢學園快線,62,89,28,14
2008-04-03,E04燕巢學園快線,76,4,46,86
2008-04-04,E04燕巢學園快線,99,47,71,81
2008-04-05,E04燕巢學園快線,46,26,82,42
2008-04-06,E04燕巢學園快線,42,4,3,10
2008-04-07,E04燕巢學園快線,78,35,42,58
2008-04-08,E04燕巢學園快線,84,10,23,27
2008-04-09,E04燕巢學園快線,54,69,98,5
2008-04-10,E04燕巢學園快線,62,11,31,7
2008-04-11,E04燕巢學園快線,41,45,22,76
2008-04-12,E04燕巢學園快線,47,96,18,46
2008-04-13,E04燕巢學園快線,14,12,41,49
2008-04-14,E04燕巢學園快線,52,11,81,90
2008-04-15,E04燕巢學園快線,46,37,47,32
2008-04-16,E04燕巢學園快線,67,73,10,43
2008-04-17,E04燕巢學園快線,99,4,59,10
2008-04-18,E04燕巢學園快線,65,30,1,67
2008-04-19,E04燕巢學園快線,19,6,61,59
2008-04-20,E04燕巢學園快線,34,99,98,63
2008-04-21,E04燕巢學園快線,74,34,31,68
2008-04-22,E04燕巢學園快線,70,53,86,49
2008-04-23,E04燕巢學園快線,40,62,67,66
2008-04-24,E04燕巢學園快線,46,92,24,7
2008-04-25,E04燕巢學園快線,81,37,61,19
2008-04-26,E04燕巢學園快線,82,4,48,84
2008-04-27,E04燕巢學園快線,60,46,66,73
2008-04-28,E04燕巢學園快線,82,78,92,74
2008-04-29,E04燕巢學園快線,95,20,86,21
2008-04-30,E04燕巢學園快線,24,82,11,1
2008-05-01,E04燕巢學園快線,29,100,13,69
2008-05-02,E04燕巢學園快線,32,20,61,46
2008-05-03,E04燕巢學園快線,43,59,30,53
2008-05-04,E04燕巢學園快線,27,92,91,38
2008-05-05,E04燕巢學園快線,45,31,26,65
2008-05-06,E04燕巢學園快線,21,45,19,66
2008-05-07,E04燕巢學園快線,96,77,23,95
2008-05-08,E04燕巢學園快線,76,42,26,52
2008-05-09,E04燕巢學園快線,80,45,68,96
2008-05-10,E04燕巢學園快線,40,4,34,31
2008-05-11,E04燕巢學園快線,29,68,64,69
2008-05-12,E04燕巢學園快線,58,94,81,35
2008-05-13,E04燕巢學園快線,35,38,78,44
2008-05-14,E04燕巢學園快線,63,16,79,79
2008-05-15,E04燕巢學園快線,35,53,44,60
2008-05-16,E04燕巢學園快線,65,30,49,59
2008-05-17,E04燕巢學園快線,90,97,40,48
2008-05-18,E04燕巢學園快線,17,36,42,44
2008-05-19,E04燕巢學園快線,87,57,78,42
