ts,bus_age,route_name,total_charging_kw
2023-10-14,電巴車齡不到1年,60覺民幹線,66
2023-10-14,電巴車齡不到1年,橘12(白天延駛澄清湖),21
2023-10-14,電巴車齡不到1年,橘11A,25
2023-10-14,電巴車齡不到1年,橘11B,93
2023-10-14,電巴車齡不到1年,60覺民幹線區間車,52
2023-10-14,電巴車齡不到1年,E04燕巢學園快線,32
2023-10-14,電巴車齡1年,60覺民幹線,96
2023-10-14,電巴車齡1年,橘12(白天延駛澄清湖),57
2023-10-14,電巴車齡1年,橘11A,1
2023-10-14,電巴車齡1年,橘11B,100
2023-10-14,電巴車齡1年,60覺民幹線區間車,79
2023-10-14,電巴車齡1年,E04燕巢學園快線,42
2023-10-14,電巴車齡2年,60覺民幹線,93
2023-10-14,電巴車齡2年,橘12(白天延駛澄清湖),56
2023-10-14,電巴車齡2年,橘11A,34
2023-10-14,電巴車齡2年,橘11B,11
2023-10-14,電巴車齡2年,60覺民幹線區間車,11
2023-10-14,電巴車齡2年,E04燕巢學園快線,75
2023-10-14,電巴車齡3年,60覺民幹線,70
2023-10-14,電巴車齡3年,橘12(白天延駛澄清湖),75
2023-10-14,電巴車齡3年,橘11A,70
2023-10-14,電巴車齡3年,橘11B,21
2023-10-14,電巴車齡3年,60覺民幹線區間車,3
2023-10-14,電巴車齡3年,E04燕巢學園快線,44
2023-10-14,電巴車齡4年,60覺民幹線,25
2023-10-14,電巴車齡4年,橘12(白天延駛澄清湖),81
2023-10-14,電巴車齡4年,橘11A,32
2023-10-14,電巴車齡4年,橘11B,6
2023-10-14,電巴車齡4年,60覺民幹線區間車,35
2023-10-14,電巴車齡4年,E04燕巢學園快線,27
2023-10-14,電巴車齡5年,60覺民幹線,22
2023-10-14,電巴車齡5年,橘12(白天延駛澄清湖),38
2023-10-14,電巴車齡5年,橘11A,4
2023-10-14,電巴車齡5年,橘11B,52
2023-10-14,電巴車齡5年,60覺民幹線區間車,25
2023-10-14,電巴車齡5年,E04燕巢學園快線,85
2023-10-14,電巴車齡超過5年,60覺民幹線,62
2023-10-14,電巴車齡超過5年,橘12(白天延駛澄清湖),90
2023-10-14,電巴車齡超過5年,橘11A,85
2023-10-14,電巴車齡超過5年,橘11B,37
2023-10-14,電巴車齡超過5年,60覺民幹線區間車,57
2023-10-14,電巴車齡超過5年,E04燕巢學園快線,44
