ts,bus_age,route_name,driven_distance_estimation
2026-07-03,電巴車齡不到1年,60覺民幹線,37
2026-07-03,電巴車齡不到1年,橘12(白天延駛澄清湖),82
2026-07-03,電巴車齡不到1年,橘11A,48
2026-07-03,電巴車齡不到1年,橘11A區間車,49
2026-07-03,電巴車齡不到1年,橘11B,44
2026-07-03,電巴車齡不到1年,60覺民幹線區間車,16
2026-07-03,電巴車齡不到1年,E04燕巢學園快線,91
2026-07-03,電巴車齡1年,60覺民幹線,82
2026-07-03,電巴車齡1年,橘12(白天延駛澄清湖),3
2026-07-03,電巴車齡1年,橘11A,22
2026-07-03,電巴車齡1年,橘11A區間車,79
2026-07-03,電巴車齡1年,橘11B,35
2026-07-03,電巴車齡1年,60覺民幹線區間車,22
2026-07-03,電巴車齡1年,E04燕巢學園快線,68
2026-07-03,電巴車齡2年,60覺民幹線,3
2026-07-03,電巴車齡2年,橘12(白天延駛澄清湖),62
2026-07-03,電巴車齡2年,橘11A,88
2026-07-03,電巴車齡2年,橘11A區間車,4
2026-07-03,電巴車齡2年,橘11B,12
2026-07-03,電巴車齡2年,60覺民幹線區間車,40
2026-07-03,電巴車齡2年,E04燕巢學園快線,78
2026-07-03,電巴車齡3年,60覺民幹線,95
2026-07-03,電巴車齡3年,橘12(白天延駛澄清湖),25
2026-07-03,電巴車齡3年,橘11A,28
2026-07-03,電巴車齡3年,橘11A區間車,78
2026-07-03,電巴車齡3年,橘11B,17
2026-07-03,電巴車齡3年,60覺民幹線區間車,54
2026-07-03,電巴車齡3年,E04燕巢學園快線,50
2026-07-03,電巴車齡4年,60覺民幹線,62
2026-07-03,電巴車齡4年,橘12(白天延駛澄清湖),98
2026-07-03,電巴車齡4年,橘11A,76
2026-07-03,電巴車齡4年,橘11A區間車,53
2026-07-03,電巴車齡4年,橘11B,65
2026-07-03,電巴車齡4年,60覺民幹線區間車,54
2026-07-03,電巴車齡4年,E04燕巢學園快線,28
2026-07-03,電巴車齡5年,60覺民幹線,55
2026-07-03,電巴車齡5年,橘12(白天延駛澄清湖),98
2026-07-03,電巴車齡5年,橘11A,44
2026-07-03,電巴車齡5年,橘11A區間車,13
2026-07-03,電巴車齡5年,橘11B,61
2026-07-03,電巴車齡5年,60覺民幹線區間車,73
2026-07-03,電巴車齡5年,E04燕巢學園快線,44
