ts,bus_age,route_name,driven_distance
2003-05,電巴車齡1年,60覺民幹線,26
2003-05,電巴車齡1年,橘12(白天延駛澄清湖),98
2003-05,電巴車齡1年,橘11A,38
2003-05,電巴車齡1年,橘11A區間車,65
2003-05,電巴車齡1年,橘11B,51
2003-05,電巴車齡1年,60覺民幹線區間車,66
2003-05,電巴車齡1年,E04燕巢學園快線,30
2003-05,電巴車齡2年,60覺民幹線,83
2003-05,電巴車齡2年,橘12(白天延駛澄清湖),20
2003-05,電巴車齡2年,橘11A,53
2003-05,電巴車齡2年,橘11A區間車,37
2003-05,電巴車齡2年,橘11B,51
2003-05,電巴車齡2年,60覺民幹線區間車,6
2003-05,電巴車齡2年,E04燕巢學園快線,87
2003-05,電巴車齡3年,60覺民幹線,92
2003-05,電巴車齡3年,橘12(白天延駛澄清湖),37
2003-05,電巴車齡3年,橘11A,78
2003-05,電巴車齡3年,橘11A區間車,81
2003-05,電巴車齡3年,橘11B,29
2003-05,電巴車齡3年,60覺民幹線區間車,47
2003-05,電巴車齡3年,E04燕巢學園快線,24
2003-05,電巴車齡4年,60覺民幹線,56
2003-05,電巴車齡4年,橘12(白天延駛澄清湖),70
2003-05,電巴車齡4年,橘11A,14
2003-05,電巴車齡4年,橘11A區間車,36
2003-05,電巴車齡4年,橘11B,9
2003-05,電巴車齡4年,60覺民幹線區間車,22
2003-05,電巴車齡4年,E04燕巢學園快線,24
2003-05,電巴車齡5年,60覺民幹線,89
2003-05,電巴車齡5年,橘12(白天延駛澄清湖),93
2003-05,電巴車齡5年,橘11A,30
2003-05,電巴車齡5年,橘11A區間車,49
2003-05,電巴車齡5年,橘11B,72
2003-05,電巴車齡5年,60覺民幹線區間車,26
2003-05,電巴車齡5年,E04燕巢學園快線,25
2003-05,電巴車齡超過5年,60覺民幹線,23
2003-05,電巴車齡超過5年,橘12(白天延駛澄清湖),26
2003-05,電巴車齡超過5年,橘11A,73
2003-05,電巴車齡超過5年,橘11A區間車,46
2003-05,電巴車齡超過5年,橘11B,60
2003-05,電巴車齡超過5年,60覺民幹線區間車,90
2003-05,電巴車齡超過5年,E04燕巢學園快線,13
