ts,depot,bus_age,total_charging_kw
2023-09,鳳山站,電巴車齡不到1年,99
2023-09,楠梓站,電巴車齡不到1年,86
2023-09,高雄站,電巴車齡不到1年,7
2023-09,鳳山站,電巴車齡1年,36
2023-09,楠梓站,電巴車齡1年,74
2023-09,高雄站,電巴車齡1年,2
2023-09,鳳山站,電巴車齡2年,71
2023-09,楠梓站,電巴車齡2年,25
2023-09,高雄站,電巴車齡2年,8
2023-09,鳳山站,電巴車齡3年,15
2023-09,楠梓站,電巴車齡3年,21
2023-09,高雄站,電巴車齡3年,99
2023-09,鳳山站,電巴車齡4年,5
2023-09,楠梓站,電巴車齡4年,75
2023-09,高雄站,電巴車齡4年,38
2023-09,鳳山站,電巴車齡5年,51
2023-09,楠梓站,電巴車齡5年,47
2023-09,高雄站,電巴車齡5年,59
2023-09,鳳山站,電巴車齡超過5年,52
2023-09,楠梓站,電巴車齡超過5年,66
2023-09,高雄站,電巴車齡超過5年,4
