ts,bus_age,on_time_percentage,count,driven_distance_estimation,ddcp,total_charging_estimation_kw
2011-08-01,電巴車齡3年,66,78,37,32,42
2011-08-02,電巴車齡3年,16,18,29,29,72
2011-08-03,電巴車齡3年,9,91,15,61,97
2011-08-04,電巴車齡3年,34,72,68,26,13
2011-08-05,電巴車齡3年,27,52,84,69,52
2011-08-06,電巴車齡3年,98,58,11,5,3
2011-08-07,電巴車齡3年,86,95,75,82,81
2011-08-08,電巴車齡3年,82,21,78,23,6
2011-08-09,電巴車齡3年,39,89,40,61,78
2011-08-10,電巴車齡3年,78,85,25,31,18
2011-08-11,電巴車齡3年,17,13,25,85,35
2011-08-12,電巴車齡3年,12,33,93,93,29
2011-08-13,電巴車齡3年,78,21,29,46,9
2011-08-14,電巴車齡3年,43,13,50,72,57
2011-08-15,電巴車齡3年,22,35,12,25,52
2011-08-16,電巴車齡3年,6,28,49,49,11
2011-08-17,電巴車齡3年,56,83,47,63,91
2011-08-18,電巴車齡3年,73,20,1,12,33
2011-08-19,電巴車齡3年,57,93,23,81,62
2011-08-20,電巴車齡3年,13,17,71,21,52
2011-08-21,電巴車齡3年,51,53,30,72,92
2011-08-22,電巴車齡3年,72,79,39,3,8
2011-08-23,電巴車齡3年,46,88,5,64,77
2011-08-24,電巴車齡3年,49,24,79,56,87
2011-08-25,電巴車齡3年,42,65,94,26,88
2011-08-26,電巴車齡3年,27,60,100,3,91
2011-08-27,電巴車齡3年,26,18,42,83,97
2011-08-28,電巴車齡3年,10,59,92,55,8
2011-08-29,電巴車齡3年,89,88,83,5,81
2011-08-30,電巴車齡3年,2,97,3,88,26
2011-08-31,電巴車齡3年,34,19,59,79,83
2011-09-01,電巴車齡3年,97,84,70,98,100
2011-09-02,電巴車齡3年,68,64,33,49,97
2011-09-03,電巴車齡3年,37,72,19,57,8
2011-09-04,電巴車齡3年,53,48,97,48,37
2011-09-05,電巴車齡3年,47,100,40,10,61
2011-09-06,電巴車齡3年,65,29,37,66,7
2011-09-07,電巴車齡3年,64,19,7,16,88
2011-09-08,電巴車齡3年,71,15,37,25,31
2011-09-09,電巴車齡3年,40,86,86,18,32
2011-09-10,電巴車齡3年,54,51,68,5,77
2011-09-11,電巴車齡3年,23,83,42,25,27
2011-09-12,電巴車齡3年,60,31,31,65,73
2011-09-13,電巴車齡3年,60,45,29,1,53
2011-09-14,電巴車齡3年,32,15,39,61,94
2011-09-15,電巴車齡3年,26,49,79,81,25
2011-09-16,電巴車齡3年,3,21,63,8,86
2011-09-17,電巴車齡3年,2,61,9,47,8
2011-09-18,電巴車齡3年,10,96,88,98,25
2011-09-19,電巴車齡3年,43,51,86,12,76
2011-09-20,電巴車齡3年,95,70,31,23,57
2011-09-21,電巴車齡3年,80,44,72,22,26
2011-09-22,電巴車齡3年,4,44,13,19,25
2011-09-23,電巴車齡3年,93,100,44,63,57
2011-09-24,電巴車齡3年,36,69,81,34,2
2011-09-25,電巴車齡3年,78,86,27,64,80
2011-09-26,電巴車齡3年,13,90,69,79,86
2011-09-27,電巴車齡3年,39,71,76,5,33
2011-09-28,電巴車齡3年,50,11,83,97,14
2011-09-29,電巴車齡3年,32,25,95,44,44
2011-09-30,電巴車齡3年,68,14,4,64,69
