ts,status,count
2013-07-01,備用中,22
2013-07-02,備用中,40
2013-07-03,備用中,100
2013-07-04,備用中,60
2013-07-05,備用中,77
2013-07-06,備用中,64
2013-07-07,備用中,7
2013-07-08,備用中,51
2013-07-09,備用中,10
2013-07-10,備用中,22
2013-07-11,備用中,55
2013-07-12,備用中,62
2013-07-13,備用中,50
2013-07-14,備用中,86
2013-07-15,備用中,19
2013-07-16,備用中,29
2013-07-17,備用中,62
2013-07-18,備用中,50
2013-07-19,備用中,95
2013-07-20,備用中,54
2013-07-21,備用中,28
2013-07-22,備用中,35
2013-07-23,備用中,36
2013-07-24,備用中,51
2013-07-25,備用中,71
2013-07-26,備用中,63
2013-07-27,備用中,9
2013-07-28,備用中,88
2013-07-29,備用中,36
2013-07-30,備用中,59
2013-07-31,備用中,28
