,status,yyyymmdd,count
0,備用中,2004-08-27,32
1,備用中,2004-08-28,13
2,備用中,2004-08-29,62
3,備用中,2004-08-30,11
4,備用中,2004-08-31,32
5,備用中,2004-09-01,82
6,備用中,2004-09-02,62
7,備用中,2004-09-03,23
8,備用中,2004-09-04,100
9,備用中,2004-09-05,66
10,備用中,2004-09-06,44
11,備用中,2004-09-07,63
12,備用中,2004-09-08,10
13,備用中,2004-09-09,23
14,備用中,2004-09-10,9
15,備用中,2004-09-11,92
16,備用中,2004-09-12,6
17,備用中,2004-09-13,5
18,備用中,2004-09-14,59
19,備用中,2004-09-15,75
20,備用中,2004-09-16,50
21,備用中,2004-09-17,1
22,備用中,2004-09-18,27
23,備用中,2004-09-19,26
24,備用中,2004-09-20,8
25,備用中,2004-09-21,61
26,備用中,2004-09-22,52
27,備用中,2004-09-23,85
28,備用中,2004-09-24,47
29,備用中,2004-09-25,84
30,備用中,2004-09-26,76
31,備用中,2004-09-27,90
32,備用中,2004-09-28,9
33,備用中,2004-09-29,46
34,備用中,2004-09-30,91
35,備用中,2004-10-01,19
36,備用中,2004-10-02,67
37,備用中,2004-10-03,26
38,備用中,2004-10-04,97
39,備用中,2004-10-05,82
40,備用中,2004-10-06,21
41,備用中,2004-10-07,18
42,備用中,2004-10-08,83
43,備用中,2004-10-09,23
44,備用中,2004-10-10,37
45,備用中,2004-10-11,16
46,備用中,2004-10-12,48
47,備用中,2004-10-13,78
48,備用中,2004-10-14,86
49,備用中,2004-10-15,55
50,備用中,2004-10-16,70
51,備用中,2004-10-17,39
52,備用中,2004-10-18,67
53,備用中,2004-10-19,95
54,備用中,2004-10-20,89
55,備用中,2004-10-21,37
56,備用中,2004-10-22,41
57,備用中,2004-10-23,100
58,備用中,2004-10-24,91
59,備用中,2004-10-25,83
60,備用中,2004-10-26,40
61,備用中,2004-10-27,39
62,備用中,2004-10-28,63
63,備用中,2004-10-29,61
64,備用中,2004-10-30,13
65,備用中,2004-10-31,19
66,備用中,2004-11-01,34
67,備用中,2004-11-02,71
68,備用中,2004-11-03,60
69,備用中,2004-11-04,61
70,備用中,2004-11-05,30
71,備用中,2004-11-06,40
72,備用中,2004-11-07,27
73,備用中,2004-11-08,31
74,備用中,2004-11-09,19
75,備用中,2004-11-10,44
76,備用中,2004-11-11,2
77,備用中,2004-11-12,43
78,備用中,2004-11-13,26
79,備用中,2004-11-14,45
80,備用中,2004-11-15,33
81,備用中,2004-11-16,37
82,備用中,2004-11-17,72
83,備用中,2004-11-18,100
84,備用中,2004-11-19,39
85,備用中,2004-11-20,22
86,備用中,2004-11-21,30
87,備用中,2004-11-22,32
88,備用中,2004-11-23,94
89,備用中,2004-11-24,94
90,備用中,2004-11-25,7
91,備用中,2004-11-26,62
92,備用中,2004-11-27,27
93,備用中,2004-11-28,27
94,備用中,2004-11-29,20
95,備用中,2004-11-30,98
96,備用中,2004-12-01,93
97,備用中,2004-12-02,64
98,備用中,2004-12-03,84
99,備用中,2004-12-04,50
100,備用中,2004-12-05,83
101,備用中,2004-12-06,61
102,備用中,2004-12-07,46
103,備用中,2004-12-08,90
104,備用中,2004-12-09,91
105,備用中,2004-12-10,85
106,備用中,2004-12-11,83
107,備用中,2004-12-12,55
108,備用中,2004-12-13,65
109,備用中,2004-12-14,1
110,備用中,2004-12-15,71
111,備用中,2004-12-16,2
112,備用中,2004-12-17,61
113,備用中,2004-12-18,92
114,備用中,2004-12-19,5
115,備用中,2004-12-20,22
116,備用中,2004-12-21,41
117,備用中,2004-12-22,55
118,備用中,2004-12-23,75
119,備用中,2004-12-24,22
120,備用中,2004-12-25,15
121,備用中,2004-12-26,12
122,備用中,2004-12-27,60
123,備用中,2004-12-28,60
124,備用中,2004-12-29,9
125,備用中,2004-12-30,33
126,備用中,2004-12-31,53
127,備用中,2005-01-01,94
128,備用中,2005-01-02,28
129,備用中,2005-01-03,38
130,備用中,2005-01-04,41
131,備用中,2005-01-05,33
132,備用中,2005-01-06,3
133,備用中,2005-01-07,7
134,備用中,2005-01-08,86
135,備用中,2005-01-09,76
136,備用中,2005-01-10,42
137,備用中,2005-01-11,54
138,備用中,2005-01-12,20
139,備用中,2005-01-13,21
140,備用中,2005-01-14,50
141,備用中,2005-01-15,87
142,備用中,2005-01-16,30
143,備用中,2005-01-17,35
144,備用中,2005-01-18,8
145,備用中,2005-01-19,50
146,備用中,2005-01-20,82
147,備用中,2005-01-21,74
148,備用中,2005-01-22,13
149,備用中,2005-01-23,95
150,備用中,2005-01-24,9
151,備用中,2005-01-25,39
152,備用中,2005-01-26,89
153,備用中,2005-01-27,24
154,備用中,2005-01-28,38
155,備用中,2005-01-29,18
156,備用中,2005-01-30,28
157,備用中,2005-01-31,53
158,備用中,2005-02-01,34
159,備用中,2005-02-02,65
160,備用中,2005-02-03,61
161,備用中,2005-02-04,23
162,備用中,2005-02-05,36
163,備用中,2005-02-06,56
164,備用中,2005-02-07,27
165,備用中,2005-02-08,23
166,備用中,2005-02-09,68
167,備用中,2005-02-10,76
168,備用中,2005-02-11,42
169,備用中,2005-02-12,71
170,備用中,2005-02-13,27
171,備用中,2005-02-14,98
172,備用中,2005-02-15,92
173,備用中,2005-02-16,93
174,備用中,2005-02-17,5
175,備用中,2005-02-18,18
176,備用中,2005-02-19,36
177,備用中,2005-02-20,50
178,備用中,2005-02-21,65
179,備用中,2005-02-22,37
180,備用中,2005-02-23,35
181,備用中,2005-02-24,69
182,備用中,2005-02-25,83
183,備用中,2005-02-26,1
184,備用中,2005-02-27,30
185,備用中,2005-02-28,26
186,備用中,2005-03-01,34
187,備用中,2005-03-02,92
188,備用中,2005-03-03,20
189,備用中,2005-03-04,61
190,備用中,2005-03-05,97
191,備用中,2005-03-06,10
192,備用中,2005-03-07,43
193,備用中,2005-03-08,32
194,備用中,2005-03-09,97
195,備用中,2005-03-10,100
196,備用中,2005-03-11,84
197,備用中,2005-03-12,9
198,備用中,2005-03-13,41
199,備用中,2005-03-14,30
200,備用中,2005-03-15,3
201,備用中,2005-03-16,17
202,備用中,2005-03-17,15
203,備用中,2005-03-18,73
204,備用中,2005-03-19,58
205,備用中,2005-03-20,41
206,備用中,2005-03-21,9
207,備用中,2005-03-22,30
208,備用中,2005-03-23,62
209,備用中,2005-03-24,78
210,備用中,2005-03-25,73
211,備用中,2005-03-26,76
212,備用中,2005-03-27,24
213,備用中,2005-03-28,79
214,備用中,2005-03-29,35
215,備用中,2005-03-30,75
216,備用中,2005-03-31,2
217,備用中,2005-04-01,77
218,備用中,2005-04-02,75
219,備用中,2005-04-03,37
220,備用中,2005-04-04,28
221,備用中,2005-04-05,45
222,備用中,2005-04-06,99
223,備用中,2005-04-07,70
224,備用中,2005-04-08,23
225,備用中,2005-04-09,63
226,備用中,2005-04-10,74
227,備用中,2005-04-11,21
228,備用中,2005-04-12,79
229,備用中,2005-04-13,50
230,備用中,2005-04-14,4
231,備用中,2005-04-15,24
232,備用中,2005-04-16,5
233,備用中,2005-04-17,39
234,備用中,2005-04-18,8
235,備用中,2005-04-19,94
236,備用中,2005-04-20,8
237,備用中,2005-04-21,38
238,備用中,2005-04-22,35
239,備用中,2005-04-23,25
240,備用中,2005-04-24,26
241,備用中,2005-04-25,50
242,備用中,2005-04-26,77
243,備用中,2005-04-27,44
244,備用中,2005-04-28,22
245,備用中,2005-04-29,91
246,備用中,2005-04-30,85
247,備用中,2005-05-01,91
248,備用中,2005-05-02,29
249,備用中,2005-05-03,100
250,備用中,2005-05-04,49
251,備用中,2005-05-05,5
252,備用中,2005-05-06,6
253,備用中,2005-05-07,5
254,備用中,2005-05-08,81
255,備用中,2005-05-09,32
256,備用中,2005-05-10,4
257,備用中,2005-05-11,9
258,備用中,2005-05-12,5
259,備用中,2005-05-13,58
260,備用中,2005-05-14,52
261,備用中,2005-05-15,55
262,備用中,2005-05-16,96
263,備用中,2005-05-17,7
264,備用中,2005-05-18,11
265,備用中,2005-05-19,19
266,備用中,2005-05-20,63
267,備用中,2005-05-21,9
268,備用中,2005-05-22,16
269,備用中,2005-05-23,25
270,備用中,2005-05-24,8
271,備用中,2005-05-25,45
272,備用中,2005-05-26,98
273,備用中,2005-05-27,34
274,備用中,2005-05-28,47
275,備用中,2005-05-29,50
276,備用中,2005-05-30,16
277,備用中,2005-05-31,20
278,備用中,2005-06-01,14
279,備用中,2005-06-02,91
280,備用中,2005-06-03,62
281,備用中,2005-06-04,17
282,備用中,2005-06-05,6
283,備用中,2005-06-06,51
284,備用中,2005-06-07,80
285,備用中,2005-06-08,64
286,備用中,2005-06-09,6
287,備用中,2005-06-10,48
288,備用中,2005-06-11,37
289,備用中,2005-06-12,85
290,備用中,2005-06-13,49
291,備用中,2005-06-14,46
292,備用中,2005-06-15,55
293,備用中,2005-06-16,47
294,備用中,2005-06-17,20
295,備用中,2005-06-18,74
296,備用中,2005-06-19,13
297,備用中,2005-06-20,22
298,備用中,2005-06-21,68
299,備用中,2005-06-22,61
300,備用中,2005-06-23,67
301,備用中,2005-06-24,65
302,備用中,2005-06-25,73
303,備用中,2005-06-26,1
304,備用中,2005-06-27,88
305,備用中,2005-06-28,87
306,備用中,2005-06-29,77
307,備用中,2005-06-30,92
308,備用中,2005-07-01,4
309,備用中,2005-07-02,7
310,備用中,2005-07-03,84
311,備用中,2005-07-04,54
312,備用中,2005-07-05,90
313,備用中,2005-07-06,47
314,備用中,2005-07-07,92
315,備用中,2005-07-08,87
316,備用中,2005-07-09,91
317,備用中,2005-07-10,1
318,備用中,2005-07-11,29
319,備用中,2005-07-12,23
320,備用中,2005-07-13,54
321,備用中,2005-07-14,10
322,備用中,2005-07-15,44
323,備用中,2005-07-16,38
324,備用中,2005-07-17,48
325,備用中,2005-07-18,7
326,備用中,2005-07-19,50
327,備用中,2005-07-20,31
328,備用中,2005-07-21,84
329,備用中,2005-07-22,58
330,備用中,2005-07-23,46
331,備用中,2005-07-24,38
332,備用中,2005-07-25,83
