ts,bus_age,route_name,ddcp
2026-10-11,電巴車齡不到1年,60覺民幹線,7
2026-10-11,電巴車齡不到1年,橘12(白天延駛澄清湖),43
2026-10-11,電巴車齡不到1年,橘11A,11
2026-10-11,電巴車齡不到1年,橘11A區間車,88
2026-10-11,電巴車齡不到1年,橘11B,15
2026-10-11,電巴車齡不到1年,60覺民幹線區間車,44
2026-10-11,電巴車齡不到1年,E04燕巢學園快線,6
2026-10-11,電巴車齡1年,60覺民幹線,68
2026-10-11,電巴車齡1年,橘12(白天延駛澄清湖),22
2026-10-11,電巴車齡1年,橘11A,72
2026-10-11,電巴車齡1年,橘11A區間車,67
2026-10-11,電巴車齡1年,橘11B,9
2026-10-11,電巴車齡1年,60覺民幹線區間車,37
2026-10-11,電巴車齡1年,E04燕巢學園快線,5
2026-10-11,電巴車齡2年,60覺民幹線,64
2026-10-11,電巴車齡2年,橘12(白天延駛澄清湖),93
2026-10-11,電巴車齡2年,橘11A,75
2026-10-11,電巴車齡2年,橘11A區間車,24
2026-10-11,電巴車齡2年,橘11B,31
2026-10-11,電巴車齡2年,60覺民幹線區間車,8
2026-10-11,電巴車齡2年,E04燕巢學園快線,10
2026-10-11,電巴車齡3年,60覺民幹線,64
2026-10-11,電巴車齡3年,橘12(白天延駛澄清湖),97
2026-10-11,電巴車齡3年,橘11A,81
2026-10-11,電巴車齡3年,橘11A區間車,15
2026-10-11,電巴車齡3年,橘11B,74
2026-10-11,電巴車齡3年,60覺民幹線區間車,98
2026-10-11,電巴車齡3年,E04燕巢學園快線,70
2026-10-11,電巴車齡5年,60覺民幹線,100
2026-10-11,電巴車齡5年,橘12(白天延駛澄清湖),34
2026-10-11,電巴車齡5年,橘11A,39
2026-10-11,電巴車齡5年,橘11A區間車,64
2026-10-11,電巴車齡5年,橘11B,72
2026-10-11,電巴車齡5年,60覺民幹線區間車,77
2026-10-11,電巴車齡5年,E04燕巢學園快線,28
2026-10-11,電巴車齡超過5年,60覺民幹線,69
2026-10-11,電巴車齡超過5年,橘12(白天延駛澄清湖),34
2026-10-11,電巴車齡超過5年,橘11A,36
2026-10-11,電巴車齡超過5年,橘11A區間車,37
2026-10-11,電巴車齡超過5年,橘11B,7
2026-10-11,電巴車齡超過5年,60覺民幹線區間車,7
2026-10-11,電巴車齡超過5年,E04燕巢學園快線,15
