ts,depot,route_name,total_charging_kw,total_charging_estimation_kw,car_used_percentage,ddcp
2023-06,鳳山站,橘11A,96,65,1,58
2023-07,鳳山站,橘11A,42,26,52,92
2023-08,鳳山站,橘11A,16,85,66,52
2023-09,鳳山站,橘11A,2,48,3,41
2023-10,鳳山站,橘11A,3,61,4,97
2023-06,楠梓站,橘11A,50,9,69,49
2023-07,楠梓站,橘11A,59,62,25,92
2023-08,楠梓站,橘11A,18,94,70,45
2023-09,楠梓站,橘11A,15,32,92,18
2023-10,楠梓站,橘11A,82,6,77,29
2023-06,高雄站,橘11A,31,95,10,65
2023-07,高雄站,橘11A,92,24,94,3
2023-08,高雄站,橘11A,75,5,99,85
2023-09,高雄站,橘11A,16,98,33,73
2023-10,高雄站,橘11A,42,31,90,64
