ts,route_name,status,count
2023-06-22,60覺民幹線,充電中,2
2023-06-22,60覺民幹線,值勤中,81
2023-06-22,60覺民幹線,備用中,24
2023-06-22,60覺民幹線,閒置中,88
2023-06-22,橘12(白天延駛澄清湖),充電中,69
2023-06-22,橘12(白天延駛澄清湖),值勤中,70
2023-06-22,橘12(白天延駛澄清湖),備用中,45
2023-06-22,橘12(白天延駛澄清湖),閒置中,80
2023-06-22,橘11A,充電中,52
2023-06-22,橘11A,值勤中,58
2023-06-22,橘11A,備用中,40
2023-06-22,橘11A,閒置中,10
2023-06-22,橘11A區間車,充電中,79
2023-06-22,橘11A區間車,值勤中,25
2023-06-22,橘11A區間車,備用中,65
2023-06-22,橘11A區間車,閒置中,40
2023-06-22,橘11B,充電中,34
2023-06-22,橘11B,值勤中,70
2023-06-22,橘11B,備用中,65
2023-06-22,橘11B,閒置中,15
2023-06-22,60覺民幹線區間車,充電中,2
2023-06-22,60覺民幹線區間車,值勤中,27
2023-06-22,60覺民幹線區間車,備用中,48
2023-06-22,60覺民幹線區間車,閒置中,32
