ts,bus_age,route_name,status,count
2023-03-22,電巴車齡3年,橘12(白天延駛澄清湖),充電中,71
2023-03-23,電巴車齡3年,橘12(白天延駛澄清湖),充電中,92
2023-03-24,電巴車齡3年,橘12(白天延駛澄清湖),充電中,73
2023-03-25,電巴車齡3年,橘12(白天延駛澄清湖),充電中,27
2023-03-26,電巴車齡3年,橘12(白天延駛澄清湖),充電中,42
2023-03-27,電巴車齡3年,橘12(白天延駛澄清湖),充電中,78
2023-03-28,電巴車齡3年,橘12(白天延駛澄清湖),充電中,35
2023-03-29,電巴車齡3年,橘12(白天延駛澄清湖),充電中,82
2023-03-30,電巴車齡3年,橘12(白天延駛澄清湖),充電中,86
2023-03-31,電巴車齡3年,橘12(白天延駛澄清湖),充電中,40
2023-04-01,電巴車齡3年,橘12(白天延駛澄清湖),充電中,31
2023-04-02,電巴車齡3年,橘12(白天延駛澄清湖),充電中,26
2023-04-03,電巴車齡3年,橘12(白天延駛澄清湖),充電中,39
2023-04-04,電巴車齡3年,橘12(白天延駛澄清湖),充電中,86
2023-04-05,電巴車齡3年,橘12(白天延駛澄清湖),充電中,8
2023-04-06,電巴車齡3年,橘12(白天延駛澄清湖),充電中,69
2023-04-07,電巴車齡3年,橘12(白天延駛澄清湖),充電中,14
2023-04-08,電巴車齡3年,橘12(白天延駛澄清湖),充電中,76
2023-04-09,電巴車齡3年,橘12(白天延駛澄清湖),充電中,78
2023-04-10,電巴車齡3年,橘12(白天延駛澄清湖),充電中,14
2023-04-11,電巴車齡3年,橘12(白天延駛澄清湖),充電中,17
2023-04-12,電巴車齡3年,橘12(白天延駛澄清湖),充電中,98
2023-04-13,電巴車齡3年,橘12(白天延駛澄清湖),充電中,37
2023-04-14,電巴車齡3年,橘12(白天延駛澄清湖),充電中,48
2023-04-15,電巴車齡3年,橘12(白天延駛澄清湖),充電中,67
2023-04-16,電巴車齡3年,橘12(白天延駛澄清湖),充電中,78
2023-04-17,電巴車齡3年,橘12(白天延駛澄清湖),充電中,28
2023-04-18,電巴車齡3年,橘12(白天延駛澄清湖),充電中,42
2023-04-19,電巴車齡3年,橘12(白天延駛澄清湖),充電中,51
2023-04-20,電巴車齡3年,橘12(白天延駛澄清湖),充電中,53
2023-04-21,電巴車齡3年,橘12(白天延駛澄清湖),充電中,10
2023-04-22,電巴車齡3年,橘12(白天延駛澄清湖),充電中,66
2023-04-23,電巴車齡3年,橘12(白天延駛澄清湖),充電中,53
2023-04-24,電巴車齡3年,橘12(白天延駛澄清湖),充電中,90
2023-04-25,電巴車齡3年,橘12(白天延駛澄清湖),充電中,99
2023-04-26,電巴車齡3年,橘12(白天延駛澄清湖),充電中,69
2023-04-27,電巴車齡3年,橘12(白天延駛澄清湖),充電中,39
2023-04-28,電巴車齡3年,橘12(白天延駛澄清湖),充電中,90
2023-04-29,電巴車齡3年,橘12(白天延駛澄清湖),充電中,10
2023-04-30,電巴車齡3年,橘12(白天延駛澄清湖),充電中,26
2023-05-01,電巴車齡3年,橘12(白天延駛澄清湖),充電中,36
2023-05-02,電巴車齡3年,橘12(白天延駛澄清湖),充電中,49
2023-05-03,電巴車齡3年,橘12(白天延駛澄清湖),充電中,88
2023-05-04,電巴車齡3年,橘12(白天延駛澄清湖),充電中,59
2023-05-05,電巴車齡3年,橘12(白天延駛澄清湖),充電中,54
2023-05-06,電巴車齡3年,橘12(白天延駛澄清湖),充電中,62
2023-05-07,電巴車齡3年,橘12(白天延駛澄清湖),充電中,66
2023-05-08,電巴車齡3年,橘12(白天延駛澄清湖),充電中,17
2023-05-09,電巴車齡3年,橘12(白天延駛澄清湖),充電中,99
2023-05-10,電巴車齡3年,橘12(白天延駛澄清湖),充電中,79
2023-05-11,電巴車齡3年,橘12(白天延駛澄清湖),充電中,90
2023-05-12,電巴車齡3年,橘12(白天延駛澄清湖),充電中,82
2023-05-13,電巴車齡3年,橘12(白天延駛澄清湖),充電中,98
2023-05-14,電巴車齡3年,橘12(白天延駛澄清湖),充電中,25
2023-05-15,電巴車齡3年,橘12(白天延駛澄清湖),充電中,54
2023-05-16,電巴車齡3年,橘12(白天延駛澄清湖),充電中,35
2023-05-17,電巴車齡3年,橘12(白天延駛澄清湖),充電中,63
2023-05-18,電巴車齡3年,橘12(白天延駛澄清湖),充電中,37
2023-05-19,電巴車齡3年,橘12(白天延駛澄清湖),充電中,16
2023-05-20,電巴車齡3年,橘12(白天延駛澄清湖),充電中,96
2023-05-21,電巴車齡3年,橘12(白天延駛澄清湖),充電中,79
2023-05-22,電巴車齡3年,橘12(白天延駛澄清湖),充電中,79
2023-05-23,電巴車齡3年,橘12(白天延駛澄清湖),充電中,16
2023-05-24,電巴車齡3年,橘12(白天延駛澄清湖),充電中,80
2023-05-25,電巴車齡3年,橘12(白天延駛澄清湖),充電中,61
2023-05-26,電巴車齡3年,橘12(白天延駛澄清湖),充電中,59
2023-05-27,電巴車齡3年,橘12(白天延駛澄清湖),充電中,82
2023-05-28,電巴車齡3年,橘12(白天延駛澄清湖),充電中,97
2023-05-29,電巴車齡3年,橘12(白天延駛澄清湖),充電中,62
2023-05-30,電巴車齡3年,橘12(白天延駛澄清湖),充電中,20
2023-05-31,電巴車齡3年,橘12(白天延駛澄清湖),充電中,81
2023-06-01,電巴車齡3年,橘12(白天延駛澄清湖),充電中,37
2023-06-02,電巴車齡3年,橘12(白天延駛澄清湖),充電中,22
2023-06-03,電巴車齡3年,橘12(白天延駛澄清湖),充電中,71
2023-06-04,電巴車齡3年,橘12(白天延駛澄清湖),充電中,98
2023-06-05,電巴車齡3年,橘12(白天延駛澄清湖),充電中,12
2023-06-06,電巴車齡3年,橘12(白天延駛澄清湖),充電中,32
2023-06-07,電巴車齡3年,橘12(白天延駛澄清湖),充電中,36
2023-06-08,電巴車齡3年,橘12(白天延駛澄清湖),充電中,61
2023-06-09,電巴車齡3年,橘12(白天延駛澄清湖),充電中,89
2023-06-10,電巴車齡3年,橘12(白天延駛澄清湖),充電中,5
2023-06-11,電巴車齡3年,橘12(白天延駛澄清湖),充電中,53
2023-06-12,電巴車齡3年,橘12(白天延駛澄清湖),充電中,40
2023-06-13,電巴車齡3年,橘12(白天延駛澄清湖),充電中,82
2023-06-14,電巴車齡3年,橘12(白天延駛澄清湖),充電中,13
2023-06-15,電巴車齡3年,橘12(白天延駛澄清湖),充電中,71
2023-06-16,電巴車齡3年,橘12(白天延駛澄清湖),充電中,12
2023-06-17,電巴車齡3年,橘12(白天延駛澄清湖),充電中,80
2023-06-18,電巴車齡3年,橘12(白天延駛澄清湖),充電中,30
2023-06-19,電巴車齡3年,橘12(白天延駛澄清湖),充電中,76
2023-06-20,電巴車齡3年,橘12(白天延駛澄清湖),充電中,96
2023-06-21,電巴車齡3年,橘12(白天延駛澄清湖),充電中,71
2023-06-22,電巴車齡3年,橘12(白天延駛澄清湖),充電中,19
2023-03-22,電巴車齡3年,橘12(白天延駛澄清湖),值勤中,87
2023-03-23,電巴車齡3年,橘12(白天延駛澄清湖),值勤中,35
2023-03-24,電巴車齡3年,橘12(白天延駛澄清湖),值勤中,70
2023-03-25,電巴車齡3年,橘12(白天延駛澄清湖),值勤中,75
2023-03-26,電巴車齡3年,橘12(白天延駛澄清湖),值勤中,22
