,bus_age,route_name,month,total_charging_estimation_kw
0,電巴車齡不到1年,E04燕巢學園快線,2023-11,77
1,電巴車齡1年,E04燕巢學園快線,2023-11,20
2,電巴車齡2年,E04燕巢學園快線,2023-11,48
3,電巴車齡3年,E04燕巢學園快線,2023-11,2
4,電巴車齡4年,E04燕巢學園快線,2023-11,55
5,電巴車齡5年,E04燕巢學園快線,2023-11,8
6,電巴車齡超過5年,E04燕巢學園快線,2023-11,70
7,電巴車齡不到1年,橘11A,2023-11,90
8,電巴車齡1年,橘11A,2023-11,73
9,電巴車齡2年,橘11A,2023-11,59
10,電巴車齡3年,橘11A,2023-11,18
11,電巴車齡4年,橘11A,2023-11,86
12,電巴車齡5年,橘11A,2023-11,22
13,電巴車齡超過5年,橘11A,2023-11,4
14,電巴車齡不到1年,60覺民幹線,2023-11,62
15,電巴車齡1年,60覺民幹線,2023-11,72
16,電巴車齡2年,60覺民幹線,2023-11,63
17,電巴車齡3年,60覺民幹線,2023-11,69
18,電巴車齡4年,60覺民幹線,2023-11,23
19,電巴車齡5年,60覺民幹線,2023-11,66
20,電巴車齡超過5年,60覺民幹線,2023-11,94
21,電巴車齡不到1年,橘11B,2023-11,89
22,電巴車齡1年,橘11B,2023-11,63
23,電巴車齡2年,橘11B,2023-11,51
24,電巴車齡3年,橘11B,2023-11,64
25,電巴車齡4年,橘11B,2023-11,5
26,電巴車齡5年,橘11B,2023-11,21
27,電巴車齡超過5年,橘11B,2023-11,70
28,電巴車齡不到1年,橘12(白天延駛澄清湖),2023-11,67
29,電巴車齡1年,橘12(白天延駛澄清湖),2023-11,76
30,電巴車齡2年,橘12(白天延駛澄清湖),2023-11,50
31,電巴車齡3年,橘12(白天延駛澄清湖),2023-11,18
32,電巴車齡4年,橘12(白天延駛澄清湖),2023-11,75
33,電巴車齡5年,橘12(白天延駛澄清湖),2023-11,20
34,電巴車齡超過5年,橘12(白天延駛澄清湖),2023-11,6
35,電巴車齡不到1年,60覺民幹線區間車,2023-11,11
36,電巴車齡1年,60覺民幹線區間車,2023-11,87
37,電巴車齡2年,60覺民幹線區間車,2023-11,15
38,電巴車齡3年,60覺民幹線區間車,2023-11,77
39,電巴車齡4年,60覺民幹線區間車,2023-11,5
40,電巴車齡5年,60覺民幹線區間車,2023-11,2
41,電巴車齡超過5年,60覺民幹線區間車,2023-11,77
